,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:60144 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037551880,2022-05-27 17:53:10.383912325+02:00,2022-05-27 17:53:10.421464205+02:00,2022-05-27 17:53:10.383912325+02:00,2022-05-27 17:53:10.421464205+02:00,2022-05-27 17:53:10.383985996+02:00,2022-05-27 17:53:10.421413183+02:00,0 days 00:00:00.037551880,0 days 00:00:00.037427187,60144,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:10.373"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:60148 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.040580988,2022-05-27 17:53:13.888419390+02:00,2022-05-27 17:53:13.929000378+02:00,2022-05-27 17:53:13.888419390+02:00,2022-05-27 17:53:13.929000378+02:00,2022-05-27 17:53:13.888491631+02:00,2022-05-27 17:53:13.928948402+02:00,0 days 00:00:00.040580988,0 days 00:00:00.040456771,60148,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:13.873"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.504507065
2,TCP 127.0.0.1:60150 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.022038936,2022-05-27 17:53:17.229619026+02:00,2022-05-27 17:53:17.251657962+02:00,2022-05-27 17:53:17.229619026+02:00,2022-05-27 17:53:17.251657962+02:00,2022-05-27 17:53:17.229692459+02:00,2022-05-27 17:53:17.251598835+02:00,0 days 00:00:00.022038936,0 days 00:00:00.021906376,60150,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T15:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",3.341199636
3,TCP 127.0.0.1:60152 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030351639,2022-05-27 17:53:17.379487276+02:00,2022-05-27 17:53:17.409838915+02:00,2022-05-27 17:53:17.379487276+02:00,2022-05-27 17:53:17.409838915+02:00,2022-05-27 17:53:17.379545212+02:00,2022-05-27 17:53:17.409792662+02:00,0 days 00:00:00.030351639,0 days 00:00:00.030247450,60152,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:17.371"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.14986825
4,TCP 127.0.0.1:60154 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.021678448,2022-05-27 17:53:20.094651937+02:00,2022-05-27 17:53:20.116330385+02:00,2022-05-27 17:53:20.094651937+02:00,2022-05-27 17:53:20.116330385+02:00,2022-05-27 17:53:20.094724894+02:00,2022-05-27 17:53:20.116272926+02:00,0 days 00:00:00.021678448,0 days 00:00:00.021548032,60154,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-27T15:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
5,TCP 127.0.0.1:60158 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.018282414,2022-05-27 17:53:21.278058290+02:00,2022-05-27 17:53:21.296340704+02:00,2022-05-27 17:53:21.278058290+02:00,2022-05-27 17:53:21.296340704+02:00,2022-05-27 17:53:21.278098106+02:00,2022-05-27 17:53:21.296310186+02:00,0 days 00:00:00.018282414,0 days 00:00:00.018212080,60158,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:21.272"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.898571014
6,TCP 127.0.0.1:60160 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029299259,2022-05-27 17:53:25.184518576+02:00,2022-05-27 17:53:25.213817835+02:00,2022-05-27 17:53:25.184518576+02:00,2022-05-27 17:53:25.213817835+02:00,2022-05-27 17:53:25.184568405+02:00,2022-05-27 17:53:25.213776112+02:00,0 days 00:00:00.029299259,0 days 00:00:00.029207707,60160,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:25.177"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.906460286
7,TCP 127.0.0.1:60162 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.039572,2022-05-27 17:53:28.481431723+02:00,2022-05-27 17:53:28.521003723+02:00,2022-05-27 17:53:28.481431723+02:00,2022-05-27 17:53:28.521003723+02:00,2022-05-27 17:53:28.481505156+02:00,2022-05-27 17:53:28.520951748+02:00,0 days 00:00:00.039572,0 days 00:00:00.039446592,60162,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:28.470"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.296913147
8,TCP 127.0.0.1:60166 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.020133972,2022-05-27 17:53:31.874658346+02:00,2022-05-27 17:53:31.894792318+02:00,2022-05-27 17:53:31.874658346+02:00,2022-05-27 17:53:31.894792318+02:00,2022-05-27 17:53:31.874697208+02:00,2022-05-27 17:53:31.894765139+02:00,0 days 00:00:00.020133972,0 days 00:00:00.020067931,60166,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:31.869"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.393226623
9,TCP 127.0.0.1:60168 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042960882,2022-05-27 17:53:35.387878180+02:00,2022-05-27 17:53:35.430839062+02:00,2022-05-27 17:53:35.387878180+02:00,2022-05-27 17:53:35.430839062+02:00,2022-05-27 17:53:35.387950897+02:00,2022-05-27 17:53:35.430779934+02:00,0 days 00:00:00.042960882,0 days 00:00:00.042829037,60168,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:35.377"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.513219834
10,TCP 127.0.0.1:60170 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038170815,2022-05-27 17:53:38.898392677+02:00,2022-05-27 17:53:38.936563492+02:00,2022-05-27 17:53:38.898392677+02:00,2022-05-27 17:53:38.936563492+02:00,2022-05-27 17:53:38.898471117+02:00,2022-05-27 17:53:38.936512709+02:00,0 days 00:00:00.038170815,0 days 00:00:00.038041592,60170,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T15:53:38.887"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.510514497
