,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:54022 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.019662857,2022-05-28 15:53:09.778019428+02:00,2022-05-28 15:53:09.797682285+02:00,2022-05-28 15:53:09.778019428+02:00,2022-05-28 15:53:09.797682285+02:00,2022-05-28 15:53:09.778057814+02:00,2022-05-28 15:53:09.797656536+02:00,0 days 00:00:00.019662857,0 days 00:00:00.019598722,54022,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T13:53:09.772"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:54024 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028839350,2022-05-28 15:53:12.686763048+02:00,2022-05-28 15:53:12.715602398+02:00,2022-05-28 15:53:12.686763048+02:00,2022-05-28 15:53:12.715602398+02:00,2022-05-28 15:53:12.686810255+02:00,2022-05-28 15:53:12.715561867+02:00,0 days 00:00:00.028839350,0 days 00:00:00.028751612,54024,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T13:53:12.678"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.90874362
2,TCP 127.0.0.1:54028 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.009332657,2022-05-28 15:53:16.695964336+02:00,2022-05-28 15:53:16.705296993+02:00,2022-05-28 15:53:16.695964336+02:00,2022-05-28 15:53:16.705296993+02:00,2022-05-28 15:53:16.696002245+02:00,2022-05-28 15:53:16.705271721+02:00,0 days 00:00:00.009332657,0 days 00:00:00.009269476,54028,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T13:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",4.009201288
3,TCP 127.0.0.1:54030 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.018422365,2022-05-28 15:53:16.882360935+02:00,2022-05-28 15:53:16.900783300+02:00,2022-05-28 15:53:16.882360935+02:00,2022-05-28 15:53:16.900783300+02:00,2022-05-28 15:53:16.882407188+02:00,2022-05-28 15:53:16.900752068+02:00,0 days 00:00:00.018422365,0 days 00:00:00.018344880,54030,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T13:53:16.876"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.186396599
4,TCP 127.0.0.1:54032 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.013476848,2022-05-28 15:53:18.124928713+02:00,2022-05-28 15:53:18.138405561+02:00,2022-05-28 15:53:18.124928713+02:00,2022-05-28 15:53:18.138405561+02:00,2022-05-28 15:53:18.124983788+02:00,2022-05-28 15:53:18.138368130+02:00,0 days 00:00:00.013476848,0 days 00:00:00.013384342,54032,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T13:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
5,TCP 127.0.0.1:54034 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.012865782,2022-05-28 15:53:18.146108627+02:00,2022-05-28 15:53:18.158974409+02:00,2022-05-28 15:53:18.146108627+02:00,2022-05-28 15:53:18.158974409+02:00,2022-05-28 15:53:18.146158695+02:00,2022-05-28 15:53:18.158937454+02:00,0 days 00:00:00.012865782,0 days 00:00:00.012778759,54034,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T13:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.021179914
6,TCP 127.0.0.1:54036 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.013467551,2022-05-28 15:53:19.553833961+02:00,2022-05-28 15:53:19.567301512+02:00,2022-05-28 15:53:19.553833961+02:00,2022-05-28 15:53:19.567301512+02:00,2022-05-28 15:53:19.553884506+02:00,2022-05-28 15:53:19.567262411+02:00,0 days 00:00:00.013467551,0 days 00:00:00.013377905,54036,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T13:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
7,TCP 127.0.0.1:54038 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027857781,2022-05-28 15:53:19.787464380+02:00,2022-05-28 15:53:19.815322161+02:00,2022-05-28 15:53:19.787464380+02:00,2022-05-28 15:53:19.815322161+02:00,2022-05-28 15:53:19.787517071+02:00,2022-05-28 15:53:19.815285444+02:00,0 days 00:00:00.027857781,0 days 00:00:00.027768373,54038,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T13:53:19.779"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.905103445
8,TCP 127.0.0.1:54040 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029096365,2022-05-28 15:53:23.686348915+02:00,2022-05-28 15:53:23.715445280+02:00,2022-05-28 15:53:23.686348915+02:00,2022-05-28 15:53:23.715445280+02:00,2022-05-28 15:53:23.686399460+02:00,2022-05-28 15:53:23.715405941+02:00,0 days 00:00:00.029096365,0 days 00:00:00.029006481,54040,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T13:53:23.677"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.898884535
9,TCP 127.0.0.1:54042 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027501106,2022-05-28 15:53:25.879038334+02:00,2022-05-28 15:53:25.906539440+02:00,2022-05-28 15:53:25.879038334+02:00,2022-05-28 15:53:25.906539440+02:00,2022-05-28 15:53:25.879094362+02:00,2022-05-28 15:53:25.906497717+02:00,0 days 00:00:00.027501106,0 days 00:00:00.027403355,54042,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T13:53:25.871"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.192689419
