,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:41526 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028842926,2022-05-28 12:23:11.780158520+02:00,2022-05-28 12:23:11.809001446+02:00,2022-05-28 12:23:11.780158520+02:00,2022-05-28 12:23:11.809001446+02:00,2022-05-28 12:23:11.780221462+02:00,2022-05-28 12:23:11.808959961+02:00,0 days 00:00:00.028842926,0 days 00:00:00.028738499,41526,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:11.772"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:41528 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029465675,2022-05-28 12:23:15.282392979+02:00,2022-05-28 12:23:15.311858654+02:00,2022-05-28 12:23:15.282392979+02:00,2022-05-28 12:23:15.311858654+02:00,2022-05-28 12:23:15.282445908+02:00,2022-05-28 12:23:15.311817408+02:00,0 days 00:00:00.029465675,0 days 00:00:00.029371500,41528,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:15.274"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.502234459
2,TCP 127.0.0.1:41530 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026289463,2022-05-28 12:23:18.786013603+02:00,2022-05-28 12:23:18.812303066+02:00,2022-05-28 12:23:18.786013603+02:00,2022-05-28 12:23:18.812303066+02:00,2022-05-28 12:23:18.786063194+02:00,2022-05-28 12:23:18.812264204+02:00,0 days 00:00:00.026289463,0 days 00:00:00.026201010,41530,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:18.778"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.503620624
3,TCP 127.0.0.1:41534 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026518822,2022-05-28 12:23:22.687021732+02:00,2022-05-28 12:23:22.713540554+02:00,2022-05-28 12:23:22.687021732+02:00,2022-05-28 12:23:22.713540554+02:00,2022-05-28 12:23:22.687071562+02:00,2022-05-28 12:23:22.713497400+02:00,0 days 00:00:00.026518822,0 days 00:00:00.026425838,41534,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:22.680"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.901008129
4,TCP 127.0.0.1:41536 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028575420,2022-05-28 12:23:25.984205723+02:00,2022-05-28 12:23:26.012781143+02:00,2022-05-28 12:23:25.984205723+02:00,2022-05-28 12:23:26.012781143+02:00,2022-05-28 12:23:25.984261036+02:00,2022-05-28 12:23:26.012731314+02:00,0 days 00:00:00.028575420,0 days 00:00:00.028470278,41536,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:25.976"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.297183991
5,TCP 127.0.0.1:41538 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026870728,2022-05-28 12:23:29.387443542+02:00,2022-05-28 12:23:29.414314270+02:00,2022-05-28 12:23:29.387443542+02:00,2022-05-28 12:23:29.414314270+02:00,2022-05-28 12:23:29.387493372+02:00,2022-05-28 12:23:29.414266348+02:00,0 days 00:00:00.026870728,0 days 00:00:00.026772976,41538,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:29.380"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.403237819
6,TCP 127.0.0.1:41540 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.013343096,2022-05-28 12:23:30.593909740+02:00,2022-05-28 12:23:30.607252836+02:00,2022-05-28 12:23:30.593909740+02:00,2022-05-28 12:23:30.607252836+02:00,2022-05-28 12:23:30.593964338+02:00,2022-05-28 12:23:30.607216120+02:00,0 days 00:00:00.013343096,0 days 00:00:00.013251782,41540,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T10:23Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
7,TCP 127.0.0.1:41544 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029648780,2022-05-28 12:23:32.886844397+02:00,2022-05-28 12:23:32.916493177+02:00,2022-05-28 12:23:32.886844397+02:00,2022-05-28 12:23:32.916493177+02:00,2022-05-28 12:23:32.886898041+02:00,2022-05-28 12:23:32.916451931+02:00,0 days 00:00:00.029648780,0 days 00:00:00.029553890,41544,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:32.878"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.499400855
8,TCP 127.0.0.1:41546 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.014922380,2022-05-28 12:23:35.891335011+02:00,2022-05-28 12:23:35.906257391+02:00,2022-05-28 12:23:35.891335011+02:00,2022-05-28 12:23:35.906257391+02:00,2022-05-28 12:23:35.891389370+02:00,2022-05-28 12:23:35.906219721+02:00,0 days 00:00:00.014922380,0 days 00:00:00.014830351,41546,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T10:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",3.004490614
9,TCP 127.0.0.1:41548 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028484821,2022-05-28 12:23:36.383179665+02:00,2022-05-28 12:23:36.411664486+02:00,2022-05-28 12:23:36.383179665+02:00,2022-05-28 12:23:36.411664486+02:00,2022-05-28 12:23:36.383234024+02:00,2022-05-28 12:23:36.411627769+02:00,0 days 00:00:00.028484821,0 days 00:00:00.028393745,41548,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:23:36.375"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.491844654
