,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:53178 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.019710541,2022-05-27 15:53:09.478182077+02:00,2022-05-27 15:53:09.497892618+02:00,2022-05-27 15:53:09.478182077+02:00,2022-05-27 15:53:09.497892618+02:00,2022-05-27 15:53:09.478254318+02:00,2022-05-27 15:53:09.497834444+02:00,0 days 00:00:00.019710541,0 days 00:00:00.019580126,53178,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T13:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",
1,TCP 127.0.0.1:53180 > 127.0.0.1:80,875,1208,2083,0 days 00:00:00.024865866,2022-05-27 15:53:11.778206825+02:00,2022-05-27 15:53:11.803072691+02:00,2022-05-27 15:53:11.778206825+02:00,2022-05-27 15:53:11.803072691+02:00,2022-05-27 15:53:11.778282881+02:00,2022-05-27 15:53:11.803009033+02:00,0 days 00:00:00.024865866,0 days 00:00:00.024726152,53180,2.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:11.766"", ""temperature"": 2656}, ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",
2,TCP 127.0.0.1:53182 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030194760,2022-05-27 15:53:11.886078119+02:00,2022-05-27 15:53:11.916272879+02:00,2022-05-27 15:53:11.886078119+02:00,2022-05-27 15:53:11.916272879+02:00,2022-05-27 15:53:11.886135101+02:00,2022-05-27 15:53:11.916227102+02:00,0 days 00:00:00.030194760,0 days 00:00:00.030092001,53182,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:11.877"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.407896042
3,TCP 127.0.0.1:53186 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038420439,2022-05-27 15:53:15.383838415+02:00,2022-05-27 15:53:15.422258854+02:00,2022-05-27 15:53:15.383838415+02:00,2022-05-27 15:53:15.422258854+02:00,2022-05-27 15:53:15.383911133+02:00,2022-05-27 15:53:15.422209024+02:00,0 days 00:00:00.038420439,0 days 00:00:00.038297891,53186,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:15.373"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.497760296
4,TCP 127.0.0.1:53188 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028701782,2022-05-27 15:53:18.878759861+02:00,2022-05-27 15:53:18.907461643+02:00,2022-05-27 15:53:18.878759861+02:00,2022-05-27 15:53:18.907461643+02:00,2022-05-27 15:53:18.878808975+02:00,2022-05-27 15:53:18.907424927+02:00,0 days 00:00:00.028701782,0 days 00:00:00.028615952,53188,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:18.871"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.494921446
5,TCP 127.0.0.1:53190 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038694143,2022-05-27 15:53:23.390120745+02:00,2022-05-27 15:53:23.428814888+02:00,2022-05-27 15:53:23.390120745+02:00,2022-05-27 15:53:23.428814888+02:00,2022-05-27 15:53:23.390193224+02:00,2022-05-27 15:53:23.428766966+02:00,0 days 00:00:00.038694143,0 days 00:00:00.038573742,53190,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:23.379"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.511360884
6,TCP 127.0.0.1:53194 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.040683985,2022-05-27 15:53:26.887718916+02:00,2022-05-27 15:53:26.928402901+02:00,2022-05-27 15:53:26.887718916+02:00,2022-05-27 15:53:26.928402901+02:00,2022-05-27 15:53:26.887791872+02:00,2022-05-27 15:53:26.928359747+02:00,0 days 00:00:00.040683985,0 days 00:00:00.040567875,53194,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:26.877"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.497598171
7,TCP 127.0.0.1:53196 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.033972501,2022-05-27 15:53:30.393163443+02:00,2022-05-27 15:53:30.427135944+02:00,2022-05-27 15:53:30.393163443+02:00,2022-05-27 15:53:30.427135944+02:00,2022-05-27 15:53:30.393218279+02:00,2022-05-27 15:53:30.427095413+02:00,0 days 00:00:00.033972501,0 days 00:00:00.033877134,53196,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:30.385"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.505444527
8,TCP 127.0.0.1:53198 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037089586,2022-05-27 15:53:33.885897398+02:00,2022-05-27 15:53:33.922986984+02:00,2022-05-27 15:53:33.885897398+02:00,2022-05-27 15:53:33.922986984+02:00,2022-05-27 15:53:33.885968924+02:00,2022-05-27 15:53:33.922936440+02:00,0 days 00:00:00.037089586,0 days 00:00:00.036967516,53198,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:33.875"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.492733955
9,TCP 127.0.0.1:53202 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.039227248,2022-05-27 15:53:37.384235620+02:00,2022-05-27 15:53:37.423462868+02:00,2022-05-27 15:53:37.384235620+02:00,2022-05-27 15:53:37.423462868+02:00,2022-05-27 15:53:37.384308100+02:00,2022-05-27 15:53:37.423412323+02:00,0 days 00:00:00.039227248,0 days 00:00:00.039104223,53202,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T13:53:37.373"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.498338222
