,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:53430 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.019078970,2022-05-27 23:53:09.674619198+02:00,2022-05-27 23:53:09.693698168+02:00,2022-05-27 23:53:09.674619198+02:00,2022-05-27 23:53:09.693698168+02:00,2022-05-27 23:53:09.674657583+02:00,2022-05-27 23:53:09.693672657+02:00,0 days 00:00:00.019078970,0 days 00:00:00.019015074,53430,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:09.669"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:53432 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.024957419,2022-05-27 23:53:10.255509853+02:00,2022-05-27 23:53:10.280467272+02:00,2022-05-27 23:53:10.255509853+02:00,2022-05-27 23:53:10.280467272+02:00,2022-05-27 23:53:10.255582093+02:00,2022-05-27 23:53:10.280410290+02:00,0 days 00:00:00.024957419,0 days 00:00:00.024828197,53432,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T21:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
2,TCP 127.0.0.1:53434 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.020037412,2022-05-27 23:53:10.280299664+02:00,2022-05-27 23:53:10.300337076+02:00,2022-05-27 23:53:10.280299664+02:00,2022-05-27 23:53:10.300337076+02:00,2022-05-27 23:53:10.280364990+02:00,2022-05-27 23:53:10.300278187+02:00,0 days 00:00:00.020037412,0 days 00:00:00.019913197,53434,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T21:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.024789811
3,TCP 127.0.0.1:53436 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036766529,2022-05-27 23:53:12.996659279+02:00,2022-05-27 23:53:13.033425808+02:00,2022-05-27 23:53:12.996659279+02:00,2022-05-27 23:53:13.033425808+02:00,2022-05-27 23:53:12.996730566+02:00,2022-05-27 23:53:13.033374547+02:00,0 days 00:00:00.036766529,0 days 00:00:00.036643981,53436,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:12.986"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.322040081
4,TCP 127.0.0.1:53440 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042940378,2022-05-27 23:53:16.390083075+02:00,2022-05-27 23:53:16.433023453+02:00,2022-05-27 23:53:16.390083075+02:00,2022-05-27 23:53:16.433023453+02:00,2022-05-27 23:53:16.390157938+02:00,2022-05-27 23:53:16.432963848+02:00,0 days 00:00:00.042940378,0 days 00:00:00.042805910,53440,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:16.379"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.393423796
5,TCP 127.0.0.1:53442 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.018620491,2022-05-27 23:53:19.884122849+02:00,2022-05-27 23:53:19.902743340+02:00,2022-05-27 23:53:19.884122849+02:00,2022-05-27 23:53:19.902743340+02:00,2022-05-27 23:53:19.884162188+02:00,2022-05-27 23:53:19.902716875+02:00,0 days 00:00:00.018620491,0 days 00:00:00.018554687,53442,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:19.878"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.494039774
6,TCP 127.0.0.1:53444 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037110090,2022-05-27 23:53:23.390068054+02:00,2022-05-27 23:53:23.427178144+02:00,2022-05-27 23:53:23.390068054+02:00,2022-05-27 23:53:23.427178144+02:00,2022-05-27 23:53:23.390141010+02:00,2022-05-27 23:53:23.427127361+02:00,0 days 00:00:00.037110090,0 days 00:00:00.036986351,53444,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:23.379"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.505945205
7,TCP 127.0.0.1:53446 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.019844056,2022-05-27 23:53:23.933883905+02:00,2022-05-27 23:53:23.953727961+02:00,2022-05-27 23:53:23.933883905+02:00,2022-05-27 23:53:23.953727961+02:00,2022-05-27 23:53:23.933954239+02:00,2022-05-27 23:53:23.953669071+02:00,0 days 00:00:00.019844056,0 days 00:00:00.019714832,53446,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-27T21:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
8,TCP 127.0.0.1:53450 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038837194,2022-05-27 23:53:26.888727427+02:00,2022-05-27 23:53:26.927564621+02:00,2022-05-27 23:53:26.888727427+02:00,2022-05-27 23:53:26.927564621+02:00,2022-05-27 23:53:26.888799906+02:00,2022-05-27 23:53:26.927517176+02:00,0 days 00:00:00.038837194,0 days 00:00:00.038717270,53450,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:26.878"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.498659373
9,TCP 127.0.0.1:53452 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.019050121,2022-05-27 23:53:29.229319334+02:00,2022-05-27 23:53:29.248369455+02:00,2022-05-27 23:53:29.229319334+02:00,2022-05-27 23:53:29.248369455+02:00,2022-05-27 23:53:29.229384899+02:00,2022-05-27 23:53:29.248317480+02:00,0 days 00:00:00.019050121,0 days 00:00:00.018932581,53452,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T21:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",2.340591907
10,TCP 127.0.0.1:53454 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.025321960,2022-05-27 23:53:30.379742384+02:00,2022-05-27 23:53:30.405064344+02:00,2022-05-27 23:53:30.379742384+02:00,2022-05-27 23:53:30.405064344+02:00,2022-05-27 23:53:30.379792213+02:00,2022-05-27 23:53:30.405027866+02:00,0 days 00:00:00.025321960,0 days 00:00:00.025235653,53454,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:53:30.372"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.15042305
