,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:51640 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.020962477,2022-05-27 23:23:09.556434631+02:00,2022-05-27 23:23:09.577397108+02:00,2022-05-27 23:23:09.556434631+02:00,2022-05-27 23:23:09.577397108+02:00,2022-05-27 23:23:09.556508064+02:00,2022-05-27 23:23:09.577335835+02:00,0 days 00:00:00.020962477,0 days 00:00:00.020827771,51640,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T21:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",
1,TCP 127.0.0.1:51644 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030333758,2022-05-27 23:23:10.778285503+02:00,2022-05-27 23:23:10.808619261+02:00,2022-05-27 23:23:10.778285503+02:00,2022-05-27 23:23:10.808619261+02:00,2022-05-27 23:23:10.778340578+02:00,2022-05-27 23:23:10.808578968+02:00,0 days 00:00:00.030333758,0 days 00:00:00.030238390,51644,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:10.770"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.221850872
2,TCP 127.0.0.1:51646 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029572249,2022-05-27 23:23:13.678617477+02:00,2022-05-27 23:23:13.708189726+02:00,2022-05-27 23:23:13.678617477+02:00,2022-05-27 23:23:13.708189726+02:00,2022-05-27 23:23:13.678671122+02:00,2022-05-27 23:23:13.708149672+02:00,0 days 00:00:00.029572249,0 days 00:00:00.029478550,51646,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:13.671"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.900331974
3,TCP 127.0.0.1:51648 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036837578,2022-05-27 23:23:16.792296886+02:00,2022-05-27 23:23:16.829134464+02:00,2022-05-27 23:23:16.792296886+02:00,2022-05-27 23:23:16.829134464+02:00,2022-05-27 23:23:16.792369366+02:00,2022-05-27 23:23:16.829080343+02:00,0 days 00:00:00.036837578,0 days 00:00:00.036710977,51648,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:16.781"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.113679409
4,TCP 127.0.0.1:51650 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.040879011,2022-05-27 23:23:19.685745001+02:00,2022-05-27 23:23:19.726624012+02:00,2022-05-27 23:23:19.685745001+02:00,2022-05-27 23:23:19.726624012+02:00,2022-05-27 23:23:19.685818195+02:00,2022-05-27 23:23:19.726578712+02:00,0 days 00:00:00.040879011,0 days 00:00:00.040760517,51650,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:19.675"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.893448115
5,TCP 127.0.0.1:51654 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041815997,2022-05-27 23:23:22.784360170+02:00,2022-05-27 23:23:22.826176167+02:00,2022-05-27 23:23:22.784360170+02:00,2022-05-27 23:23:22.826176167+02:00,2022-05-27 23:23:22.784433126+02:00,2022-05-27 23:23:22.826116800+02:00,0 days 00:00:00.041815997,0 days 00:00:00.041683674,51654,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:22.773"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.098615169
6,TCP 127.0.0.1:51656 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029451132,2022-05-27 23:23:25.683555841+02:00,2022-05-27 23:23:25.713006973+02:00,2022-05-27 23:23:25.683555841+02:00,2022-05-27 23:23:25.713006973+02:00,2022-05-27 23:23:25.683609009+02:00,2022-05-27 23:23:25.712964296+02:00,0 days 00:00:00.029451132,0 days 00:00:00.029355287,51656,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:25.675"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.899195671
7,TCP 127.0.0.1:51658 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036864043,2022-05-27 23:23:28.779718637+02:00,2022-05-27 23:23:28.816582680+02:00,2022-05-27 23:23:28.779718637+02:00,2022-05-27 23:23:28.816582680+02:00,2022-05-27 23:23:28.779784679+02:00,2022-05-27 23:23:28.816530943+02:00,0 days 00:00:00.036864043,0 days 00:00:00.036746264,51658,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:28.770"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.096162796
8,TCP 127.0.0.1:51662 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.018935681,2022-05-27 23:23:31.675041437+02:00,2022-05-27 23:23:31.693977118+02:00,2022-05-27 23:23:31.675041437+02:00,2022-05-27 23:23:31.693977118+02:00,2022-05-27 23:23:31.675080538+02:00,2022-05-27 23:23:31.693950891+02:00,0 days 00:00:00.018935681,0 days 00:00:00.018870353,51662,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:31.669"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.8953228
9,TCP 127.0.0.1:51664 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037803173,2022-05-27 23:23:34.790455341+02:00,2022-05-27 23:23:34.828258514+02:00,2022-05-27 23:23:34.790455341+02:00,2022-05-27 23:23:34.828258514+02:00,2022-05-27 23:23:34.790527105+02:00,2022-05-27 23:23:34.828183174+02:00,0 days 00:00:00.037803173,0 days 00:00:00.037656069,51664,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T21:23:34.779"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.115413904
