,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:54920 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.050142527,2022-05-27 16:23:11.786823511+02:00,2022-05-27 16:23:11.836966038+02:00,2022-05-27 16:23:11.786823511+02:00,2022-05-27 16:23:11.836966038+02:00,2022-05-27 16:23:11.786897898+02:00,2022-05-27 16:23:11.836908817+02:00,0 days 00:00:00.050142527,0 days 00:00:00.050010919,54920,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T14:23:11.775"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:54924 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041502476,2022-05-27 16:23:15.287755251+02:00,2022-05-27 16:23:15.329257727+02:00,2022-05-27 16:23:15.287755251+02:00,2022-05-27 16:23:15.329257727+02:00,2022-05-27 16:23:15.287828684+02:00,2022-05-27 16:23:15.329212666+02:00,0 days 00:00:00.041502476,0 days 00:00:00.041383982,54924,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T14:23:15.277"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.50093174
2,TCP 127.0.0.1:54926 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.026038647,2022-05-27 16:23:18.310171604+02:00,2022-05-27 16:23:18.336210251+02:00,2022-05-27 16:23:18.310171604+02:00,2022-05-27 16:23:18.336210251+02:00,2022-05-27 16:23:18.310243130+02:00,2022-05-27 16:23:18.336153746+02:00,0 days 00:00:00.026038647,0 days 00:00:00.025910616,54926,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T14:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
3,TCP 127.0.0.1:54928 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.022645712,2022-05-27 16:23:18.333114624+02:00,2022-05-27 16:23:18.355760336+02:00,2022-05-27 16:23:18.333114624+02:00,2022-05-27 16:23:18.355760336+02:00,2022-05-27 16:23:18.333185196+02:00,2022-05-27 16:23:18.355697632+02:00,0 days 00:00:00.022645712,0 days 00:00:00.022512436,54928,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T14:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.02294302
4,TCP 127.0.0.1:54930 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.035741329,2022-05-27 16:23:18.783216715+02:00,2022-05-27 16:23:18.818958044+02:00,2022-05-27 16:23:18.783216715+02:00,2022-05-27 16:23:18.818958044+02:00,2022-05-27 16:23:18.783288002+02:00,2022-05-27 16:23:18.818907976+02:00,0 days 00:00:00.035741329,0 days 00:00:00.035619974,54930,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T14:23:18.772"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.495461464
5,TCP 127.0.0.1:54934 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.019402743,2022-05-27 16:23:22.295594692+02:00,2022-05-27 16:23:22.314997435+02:00,2022-05-27 16:23:22.295594692+02:00,2022-05-27 16:23:22.314997435+02:00,2022-05-27 16:23:22.295631647+02:00,2022-05-27 16:23:22.314971685+02:00,0 days 00:00:00.019402743,0 days 00:00:00.019340038,54934,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T14:23:22.289"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.512377977
6,TCP 127.0.0.1:54936 > 127.0.0.1:80,1080,1208,2288,0 days 00:00:00.025833130,2022-05-27 16:23:25.330675125+02:00,2022-05-27 16:23:25.356508255+02:00,2022-05-27 16:23:25.330675125+02:00,2022-05-27 16:23:25.356508255+02:00,2022-05-27 16:23:25.330747604+02:00,2022-05-27 16:23:25.356451035+02:00,0 days 00:00:00.025833130,0 days 00:00:00.025703431,54936,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""4"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T14:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Consumption 4"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAConsumption"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}, ""e"": ""changed"", ""id"": ""4"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}}",3.035080433
7,TCP 127.0.0.1:54938 > 127.0.0.1:80,1068,1208,2276,0 days 00:00:00.020092010,2022-05-27 16:23:25.356322527+02:00,2022-05-27 16:23:25.376414537+02:00,2022-05-27 16:23:25.356322527+02:00,2022-05-27 16:23:25.376414537+02:00,2022-05-27 16:23:25.356386900+02:00,2022-05-27 16:23:25.376371622+02:00,0 days 00:00:00.020092010,0 days 00:00:00.019984722,54938,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""5"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T14:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Power 5"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAPower"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}, ""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.025647402
8,TCP 127.0.0.1:54940 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.015837431,2022-05-27 16:23:25.376276970+02:00,2022-05-27 16:23:25.392114401+02:00,2022-05-27 16:23:25.376276970+02:00,2022-05-27 16:23:25.392114401+02:00,2022-05-27 16:23:25.376330853+02:00,2022-05-27 16:23:25.392069340+02:00,0 days 00:00:00.015837431,0 days 00:00:00.015738487,54940,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T14:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",0.019954443
9,TCP 127.0.0.1:54942 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041053533,2022-05-27 16:23:25.783703566+02:00,2022-05-27 16:23:25.824757099+02:00,2022-05-27 16:23:25.783703566+02:00,2022-05-27 16:23:25.824757099+02:00,2022-05-27 16:23:25.783774853+02:00,2022-05-27 16:23:25.824698448+02:00,0 days 00:00:00.041053533,0 days 00:00:00.040923595,54942,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T14:23:25.772"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.407426596
