,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:47472 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026425839,2022-05-28 21:53:10.888722181+02:00,2022-05-28 21:53:10.915148020+02:00,2022-05-28 21:53:10.888722181+02:00,2022-05-28 21:53:10.915148020+02:00,2022-05-28 21:53:10.888770580+02:00,2022-05-28 21:53:10.915110350+02:00,0 days 00:00:00.026425839,0 days 00:00:00.026339770,47472,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:10.880"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:47474 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027661323,2022-05-28 21:53:14.376646996+02:00,2022-05-28 21:53:14.404308319+02:00,2022-05-28 21:53:14.376646996+02:00,2022-05-28 21:53:14.404308319+02:00,2022-05-28 21:53:14.376701832+02:00,2022-05-28 21:53:14.404268265+02:00,0 days 00:00:00.027661323,0 days 00:00:00.027566433,47474,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:14.368"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.487924815
2,TCP 127.0.0.1:47478 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027700424,2022-05-28 21:53:17.878984213+02:00,2022-05-28 21:53:17.906684637+02:00,2022-05-28 21:53:17.878984213+02:00,2022-05-28 21:53:17.906684637+02:00,2022-05-28 21:53:17.879044771+02:00,2022-05-28 21:53:17.906629086+02:00,0 days 00:00:00.027700424,0 days 00:00:00.027584315,47478,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:17.869"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.502337217
3,TCP 127.0.0.1:47480 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027204275,2022-05-28 21:53:21.380574465+02:00,2022-05-28 21:53:21.407778740+02:00,2022-05-28 21:53:21.380574465+02:00,2022-05-28 21:53:21.407778740+02:00,2022-05-28 21:53:21.380624294+02:00,2022-05-28 21:53:21.407739878+02:00,0 days 00:00:00.027204275,0 days 00:00:00.027115584,47480,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:21.373"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.501590252
4,TCP 127.0.0.1:47482 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.014098167,2022-05-28 21:53:23.059020281+02:00,2022-05-28 21:53:23.073118448+02:00,2022-05-28 21:53:23.059020281+02:00,2022-05-28 21:53:23.073118448+02:00,2022-05-28 21:53:23.059079409+02:00,2022-05-28 21:53:23.073078394+02:00,0 days 00:00:00.014098167,0 days 00:00:00.013998985,47482,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T19:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",1.678445816
5,TCP 127.0.0.1:47484 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028924942,2022-05-28 21:53:24.876837969+02:00,2022-05-28 21:53:24.905762911+02:00,2022-05-28 21:53:24.876837969+02:00,2022-05-28 21:53:24.905762911+02:00,2022-05-28 21:53:24.876893282+02:00,2022-05-28 21:53:24.905717373+02:00,0 days 00:00:00.028924942,0 days 00:00:00.028824091,47484,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:24.868"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.817817688
6,TCP 127.0.0.1:47488 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026767016,2022-05-28 21:53:29.384139299+02:00,2022-05-28 21:53:29.410906315+02:00,2022-05-28 21:53:29.384139299+02:00,2022-05-28 21:53:29.410906315+02:00,2022-05-28 21:53:29.384196997+02:00,2022-05-28 21:53:29.410862923+02:00,0 days 00:00:00.026767016,0 days 00:00:00.026665926,47488,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:29.376"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.50730133
7,TCP 127.0.0.1:47490 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027061224,2022-05-28 21:53:34.881795645+02:00,2022-05-28 21:53:34.908856869+02:00,2022-05-28 21:53:34.881795645+02:00,2022-05-28 21:53:34.908856869+02:00,2022-05-28 21:53:34.881844282+02:00,2022-05-28 21:53:34.908820391+02:00,0 days 00:00:00.027061224,0 days 00:00:00.026976109,47490,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:34.873"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",5.497656346
8,TCP 127.0.0.1:47494 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029760361,2022-05-28 21:53:39.419506788+02:00,2022-05-28 21:53:39.449267149+02:00,2022-05-28 21:53:39.419506788+02:00,2022-05-28 21:53:39.449267149+02:00,2022-05-28 21:53:39.419558764+02:00,2022-05-28 21:53:39.449226141+02:00,0 days 00:00:00.029760361,0 days 00:00:00.029667377,47494,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:39.411"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.537711143
9,TCP 127.0.0.1:47496 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030919313,2022-05-28 21:53:42.881954432+02:00,2022-05-28 21:53:42.912873745+02:00,2022-05-28 21:53:42.881954432+02:00,2022-05-28 21:53:42.912873745+02:00,2022-05-28 21:53:42.882008553+02:00,2022-05-28 21:53:42.912827253+02:00,0 days 00:00:00.030919313,0 days 00:00:00.030818700,47496,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:42.873"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.462447644
10,TCP 127.0.0.1:47498 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026557923,2022-05-28 21:53:46.384857416+02:00,2022-05-28 21:53:46.411415339+02:00,2022-05-28 21:53:46.384857416+02:00,2022-05-28 21:53:46.411415339+02:00,2022-05-28 21:53:46.384910822+02:00,2022-05-28 21:53:46.411378145+02:00,0 days 00:00:00.026557923,0 days 00:00:00.026467323,47498,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:46.377"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.502902984
11,TCP 127.0.0.1:47502 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026492834,2022-05-28 21:53:49.878073454+02:00,2022-05-28 21:53:49.904566288+02:00,2022-05-28 21:53:49.878073454+02:00,2022-05-28 21:53:49.904566288+02:00,2022-05-28 21:53:49.878124237+02:00,2022-05-28 21:53:49.904529095+02:00,0 days 00:00:00.026492834,0 days 00:00:00.026404858,47502,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:49.870"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.493216038
12,TCP 127.0.0.1:47504 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.012967348,2022-05-28 21:53:50.402214050+02:00,2022-05-28 21:53:50.415181398+02:00,2022-05-28 21:53:50.402214050+02:00,2022-05-28 21:53:50.415181398+02:00,2022-05-28 21:53:50.402262211+02:00,2022-05-28 21:53:50.415144920+02:00,0 days 00:00:00.012967348,0 days 00:00:00.012882709,47504,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T19:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
13,TCP 127.0.0.1:47506 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028934478,2022-05-28 21:53:53.384437323+02:00,2022-05-28 21:53:53.413371801+02:00,2022-05-28 21:53:53.384437323+02:00,2022-05-28 21:53:53.413371801+02:00,2022-05-28 21:53:53.384498596+02:00,2022-05-28 21:53:53.413329363+02:00,0 days 00:00:00.028934478,0 days 00:00:00.028830767,47506,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:53.376"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.506363869
14,TCP 127.0.0.1:47508 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026435852,2022-05-28 21:53:56.877731562+02:00,2022-05-28 21:53:56.904167414+02:00,2022-05-28 21:53:56.877731562+02:00,2022-05-28 21:53:56.904167414+02:00,2022-05-28 21:53:56.877781153+02:00,2022-05-28 21:53:56.904126167+02:00,0 days 00:00:00.026435852,0 days 00:00:00.026345014,47508,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:53:56.870"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.493294239
15,TCP 127.0.0.1:47512 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029413223,2022-05-28 21:54:00.382424355+02:00,2022-05-28 21:54:00.411837578+02:00,2022-05-28 21:54:00.382424355+02:00,2022-05-28 21:54:00.411837578+02:00,2022-05-28 21:54:00.382483482+02:00,2022-05-28 21:54:00.411797047+02:00,0 days 00:00:00.029413223,0 days 00:00:00.029313565,47512,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:54:00.374"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.504692793
