,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:48354 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042622089,2022-05-28 06:23:09.780111790+02:00,2022-05-28 06:23:09.822733879+02:00,2022-05-28 06:23:09.780111790+02:00,2022-05-28 06:23:09.822733879+02:00,2022-05-28 06:23:09.780185699+02:00,2022-05-28 06:23:09.822669506+02:00,0 days 00:00:00.042622089,0 days 00:00:00.042483807,48354,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T04:23:09.769"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:48356 > 127.0.0.1:80,1074,1208,2282,0 days 00:00:00.024669886,2022-05-28 06:23:11.358088493+02:00,2022-05-28 06:23:11.382758379+02:00,2022-05-28 06:23:11.358088493+02:00,2022-05-28 06:23:11.382758379+02:00,2022-05-28 06:23:11.358154058+02:00,2022-05-28 06:23:11.382706881+02:00,0 days 00:00:00.024669886,0 days 00:00:00.024552823,48356,8.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""8"", ""lastannounced"": ""2022-05-10T03:08:04Z"", ""lastseen"": ""2022-05-28T04:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.weather"", ""name"": ""Temperature 8"", ""swversion"": ""20191205"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0402""}, ""e"": ""changed"", ""id"": ""8"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0402""}}",
2,TCP 127.0.0.1:48358 > 127.0.0.1:80,1068,1208,2276,0 days 00:00:00.022581339,2022-05-28 06:23:11.382546425+02:00,2022-05-28 06:23:11.405127764+02:00,2022-05-28 06:23:11.382546425+02:00,2022-05-28 06:23:11.405127764+02:00,2022-05-28 06:23:11.382636070+02:00,2022-05-28 06:23:11.405084610+02:00,0 days 00:00:00.022581339,0 days 00:00:00.022448540,48358,8.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""9"", ""lastannounced"": ""2022-05-10T03:08:04Z"", ""lastseen"": ""2022-05-28T04:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.weather"", ""name"": ""Humidity 9"", ""swversion"": ""20191205"", ""type"": ""ZHAHumidity"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0405""}, ""e"": ""changed"", ""id"": ""9"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0405""}}",0.024457932
3,TCP 127.0.0.1:48360 > 127.0.0.1:80,1071,1208,2279,0 days 00:00:00.017145633,2022-05-28 06:23:11.404973984+02:00,2022-05-28 06:23:11.422119617+02:00,2022-05-28 06:23:11.404973984+02:00,2022-05-28 06:23:11.422119617+02:00,2022-05-28 06:23:11.405028105+02:00,2022-05-28 06:23:11.422067881+02:00,0 days 00:00:00.017145633,0 days 00:00:00.017039776,48360,8.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""10"", ""lastannounced"": ""2022-05-10T03:08:04Z"", ""lastseen"": ""2022-05-28T04:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.weather"", ""name"": ""Pressure 10"", ""swversion"": ""20191205"", ""type"": ""ZHAPressure"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0403""}, ""e"": ""changed"", ""id"": ""10"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0403""}}",0.022427559
4,TCP 127.0.0.1:48362 > 127.0.0.1:80,1074,1208,2282,0 days 00:00:00.013595104,2022-05-28 06:23:11.512224674+02:00,2022-05-28 06:23:11.525819778+02:00,2022-05-28 06:23:11.512224674+02:00,2022-05-28 06:23:11.525819778+02:00,2022-05-28 06:23:11.512277126+02:00,2022-05-28 06:23:11.525776863+02:00,0 days 00:00:00.013595104,0 days 00:00:00.013499737,48362,8.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""8"", ""lastannounced"": ""2022-05-28T04:23:11Z"", ""lastseen"": ""2022-05-28T04:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.weather"", ""name"": ""Temperature 8"", ""swversion"": ""20191205"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0402""}, ""e"": ""changed"", ""id"": ""8"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0402""}}",0.10725069
5,TCP 127.0.0.1:48364 > 127.0.0.1:80,872,1208,2080,0 days 00:00:00.024955749,2022-05-28 06:23:11.533003569+02:00,2022-05-28 06:23:11.557959318+02:00,2022-05-28 06:23:11.533003569+02:00,2022-05-28 06:23:11.557959318+02:00,2022-05-28 06:23:11.533056021+02:00,2022-05-28 06:23:11.557915688+02:00,0 days 00:00:00.024955749,0 days 00:00:00.024859667,48364,8.0,12,"{""00212EFFFF0820B0"": {""config"": {""battery"": 91, ""offset"": 0, ""on"": true, ""reachable"": true}, ""e"": ""changed"", ""id"": ""8"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0402""}}",0.020778895
6,TCP 127.0.0.1:48366 > 127.0.0.1:80,1068,1208,2276,0 days 00:00:00.022840262,2022-05-28 06:23:11.555459499+02:00,2022-05-28 06:23:11.578299761+02:00,2022-05-28 06:23:11.555459499+02:00,2022-05-28 06:23:11.578299761+02:00,2022-05-28 06:23:11.555519581+02:00,2022-05-28 06:23:11.578257322+02:00,0 days 00:00:00.022840262,0 days 00:00:00.022737741,48366,8.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""9"", ""lastannounced"": ""2022-05-28T04:23:11Z"", ""lastseen"": ""2022-05-28T04:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.weather"", ""name"": ""Humidity 9"", ""swversion"": ""20191205"", ""type"": ""ZHAHumidity"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0405""}, ""e"": ""changed"", ""id"": ""9"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0405""}}",0.02245593
7,TCP 127.0.0.1:48368 > 127.0.0.1:80,872,1208,2080,0 days 00:00:00.024653911,2022-05-28 06:23:11.578157187+02:00,2022-05-28 06:23:11.602811098+02:00,2022-05-28 06:23:11.578157187+02:00,2022-05-28 06:23:11.602811098+02:00,2022-05-28 06:23:11.578210354+02:00,2022-05-28 06:23:11.602759600+02:00,0 days 00:00:00.024653911,0 days 00:00:00.024549246,48368,8.0,12,"{""00212EFFFF0820B0"": {""config"": {""battery"": 91, ""offset"": 0, ""on"": true, ""reachable"": true}, ""e"": ""changed"", ""id"": ""9"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0405""}}",0.022697688
8,TCP 127.0.0.1:48370 > 127.0.0.1:80,1071,1208,2279,0 days 00:00:00.015590429,2022-05-28 06:23:11.598427534+02:00,2022-05-28 06:23:11.614017963+02:00,2022-05-28 06:23:11.598427534+02:00,2022-05-28 06:23:11.614017963+02:00,2022-05-28 06:23:11.598487377+02:00,2022-05-28 06:23:11.613970041+02:00,0 days 00:00:00.015590429,0 days 00:00:00.015482664,48370,8.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""10"", ""lastannounced"": ""2022-05-28T04:23:11Z"", ""lastseen"": ""2022-05-28T04:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.weather"", ""name"": ""Pressure 10"", ""swversion"": ""20191205"", ""type"": ""ZHAPressure"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0403""}, ""e"": ""changed"", ""id"": ""10"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0403""}}",0.020270347
9,TCP 127.0.0.1:48372 > 127.0.0.1:80,873,1208,2081,0 days 00:00:00.021841288,2022-05-28 06:23:11.620736599+02:00,2022-05-28 06:23:11.642577887+02:00,2022-05-28 06:23:11.620736599+02:00,2022-05-28 06:23:11.642577887+02:00,2022-05-28 06:23:11.620795250+02:00,2022-05-28 06:23:11.642533779+02:00,0 days 00:00:00.021841288,0 days 00:00:00.021738529,48372,8.0,12,"{""00212EFFFF0820B0"": {""config"": {""battery"": 91, ""offset"": 0, ""on"": true, ""reachable"": true}, ""e"": ""changed"", ""id"": ""10"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:8d:00:07:ec:ea:76-01-0403""}}",0.022309065
