,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:51062 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026178121,2022-05-28 22:53:11.780868769+02:00,2022-05-28 22:53:11.807046890+02:00,2022-05-28 22:53:11.780868769+02:00,2022-05-28 22:53:11.807046890+02:00,2022-05-28 22:53:11.780918360+02:00,2022-05-28 22:53:11.807008982+02:00,0 days 00:00:00.026178121,0 days 00:00:00.026090622,51062,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:11.773"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:51066 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028545618,2022-05-28 22:53:15.283546209+02:00,2022-05-28 22:53:15.312091827+02:00,2022-05-28 22:53:15.283546209+02:00,2022-05-28 22:53:15.312091827+02:00,2022-05-28 22:53:15.283598900+02:00,2022-05-28 22:53:15.312049866+02:00,0 days 00:00:00.028545618,0 days 00:00:00.028450966,51066,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:15.275"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.50267744
2,TCP 127.0.0.1:51068 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027786970,2022-05-28 22:53:18.177318335+02:00,2022-05-28 22:53:18.205105305+02:00,2022-05-28 22:53:18.177318335+02:00,2022-05-28 22:53:18.205105305+02:00,2022-05-28 22:53:18.177370548+02:00,2022-05-28 22:53:18.205064774+02:00,0 days 00:00:00.027786970,0 days 00:00:00.027694226,51068,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:18.169"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.893772126
3,TCP 127.0.0.1:51070 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027706385,2022-05-28 22:53:22.380485773+02:00,2022-05-28 22:53:22.408192158+02:00,2022-05-28 22:53:22.380485773+02:00,2022-05-28 22:53:22.408192158+02:00,2022-05-28 22:53:22.380535603+02:00,2022-05-28 22:53:22.408155918+02:00,0 days 00:00:00.027706385,0 days 00:00:00.027620315,51070,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:22.373"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.203167438
4,TCP 127.0.0.1:51074 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026585579,2022-05-28 22:53:25.887340307+02:00,2022-05-28 22:53:25.913925886+02:00,2022-05-28 22:53:25.887340307+02:00,2022-05-28 22:53:25.913925886+02:00,2022-05-28 22:53:25.887394190+02:00,2022-05-28 22:53:25.913885832+02:00,0 days 00:00:00.026585579,0 days 00:00:00.026491642,51074,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:25.879"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.506854534
5,TCP 127.0.0.1:51076 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030105352,2022-05-28 22:53:29.387826443+02:00,2022-05-28 22:53:29.417931795+02:00,2022-05-28 22:53:29.387826443+02:00,2022-05-28 22:53:29.417931795+02:00,2022-05-28 22:53:29.387881041+02:00,2022-05-28 22:53:29.417892218+02:00,0 days 00:00:00.030105352,0 days 00:00:00.030011177,51076,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:29.379"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.500486136
6,TCP 127.0.0.1:51078 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.013557195,2022-05-28 22:53:30.576354504+02:00,2022-05-28 22:53:30.589911699+02:00,2022-05-28 22:53:30.576354504+02:00,2022-05-28 22:53:30.589911699+02:00,2022-05-28 22:53:30.576409340+02:00,2022-05-28 22:53:30.589870214+02:00,0 days 00:00:00.013557195,0 days 00:00:00.013460874,51078,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T20:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
7,TCP 127.0.0.1:51080 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.013283491,2022-05-28 22:53:30.596998453+02:00,2022-05-28 22:53:30.610281944+02:00,2022-05-28 22:53:30.596998453+02:00,2022-05-28 22:53:30.610281944+02:00,2022-05-28 22:53:30.597092152+02:00,2022-05-28 22:53:30.610239267+02:00,0 days 00:00:00.013283491,0 days 00:00:00.013147115,51080,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T20:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.020643949
8,TCP 127.0.0.1:51082 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026172399,2022-05-28 22:53:32.878247023+02:00,2022-05-28 22:53:32.904419422+02:00,2022-05-28 22:53:32.878247023+02:00,2022-05-28 22:53:32.904419422+02:00,2022-05-28 22:53:32.878296852+02:00,2022-05-28 22:53:32.904381275+02:00,0 days 00:00:00.026172399,0 days 00:00:00.026084423,51082,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T20:53:32.871"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.49042058
9,TCP 127.0.0.1:51086 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.010912895,2022-05-28 22:53:35.040009499+02:00,2022-05-28 22:53:35.050922394+02:00,2022-05-28 22:53:35.040009499+02:00,2022-05-28 22:53:35.050922394+02:00,2022-05-28 22:53:35.040047646+02:00,2022-05-28 22:53:35.050895691+02:00,0 days 00:00:00.010912895,0 days 00:00:00.010848045,51086,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T20:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
