,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:33690 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041411638,2022-05-27 18:23:10.180381060+02:00,2022-05-27 18:23:10.221792698+02:00,2022-05-27 18:23:10.180381060+02:00,2022-05-27 18:23:10.221792698+02:00,2022-05-27 18:23:10.180455208+02:00,2022-05-27 18:23:10.221755981+02:00,0 days 00:00:00.041411638,0 days 00:00:00.041300773,33690,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:10.169"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:33692 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038694620,2022-05-27 18:23:12.884862900+02:00,2022-05-27 18:23:12.923557520+02:00,2022-05-27 18:23:12.884862900+02:00,2022-05-27 18:23:12.923557520+02:00,2022-05-27 18:23:12.884935617+02:00,2022-05-27 18:23:12.923499346+02:00,0 days 00:00:00.038694620,0 days 00:00:00.038563729,33692,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:12.874"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.70448184
2,TCP 127.0.0.1:33694 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.025968074,2022-05-27 18:23:15.785564423+02:00,2022-05-27 18:23:15.811532497+02:00,2022-05-27 18:23:15.785564423+02:00,2022-05-27 18:23:15.811532497+02:00,2022-05-27 18:23:15.785614014+02:00,2022-05-27 18:23:15.811492920+02:00,0 days 00:00:00.025968074,0 days 00:00:00.025878906,33694,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:15.778"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.900701523
3,TCP 127.0.0.1:33698 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041944980,2022-05-27 18:23:19.686930180+02:00,2022-05-27 18:23:19.728875160+02:00,2022-05-27 18:23:19.686930180+02:00,2022-05-27 18:23:19.728875160+02:00,2022-05-27 18:23:19.687003613+02:00,2022-05-27 18:23:19.728814363+02:00,0 days 00:00:00.041944980,0 days 00:00:00.041810750,33698,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:19.676"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.901365757
4,TCP 127.0.0.1:33700 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.039112329,2022-05-27 18:23:21.900181532+02:00,2022-05-27 18:23:21.939293861+02:00,2022-05-27 18:23:21.900181532+02:00,2022-05-27 18:23:21.939293861+02:00,2022-05-27 18:23:21.900254965+02:00,2022-05-27 18:23:21.939234972+02:00,0 days 00:00:00.039112329,0 days 00:00:00.038980007,33700,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:21.889"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.213251352
5,TCP 127.0.0.1:33702 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041031360,2022-05-27 18:23:25.383843899+02:00,2022-05-27 18:23:25.424875259+02:00,2022-05-27 18:23:25.383843899+02:00,2022-05-27 18:23:25.424875259+02:00,2022-05-27 18:23:25.383915186+02:00,2022-05-27 18:23:25.424821138+02:00,0 days 00:00:00.041031360,0 days 00:00:00.040905952,33702,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:25.373"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.483662367
6,TCP 127.0.0.1:33704 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.023175240,2022-05-27 18:23:26.098943710+02:00,2022-05-27 18:23:26.122118950+02:00,2022-05-27 18:23:26.098943710+02:00,2022-05-27 18:23:26.122118950+02:00,2022-05-27 18:23:26.099018574+02:00,2022-05-27 18:23:26.122065544+02:00,0 days 00:00:00.023175240,0 days 00:00:00.023046970,33704,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T16:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
7,TCP 127.0.0.1:33706 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.017019034,2022-05-27 18:23:26.122728586+02:00,2022-05-27 18:23:26.139747620+02:00,2022-05-27 18:23:26.122728586+02:00,2022-05-27 18:23:26.139747620+02:00,2022-05-27 18:23:26.122789145+02:00,2022-05-27 18:23:26.139696360+02:00,0 days 00:00:00.017019034,0 days 00:00:00.016907215,33706,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T16:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.023784876
8,TCP 127.0.0.1:33710 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.033258676,2022-05-27 18:23:28.285590649+02:00,2022-05-27 18:23:28.318849325+02:00,2022-05-27 18:23:28.285590649+02:00,2022-05-27 18:23:28.318849325+02:00,2022-05-27 18:23:28.285640001+02:00,2022-05-27 18:23:28.318812609+02:00,0 days 00:00:00.033258676,0 days 00:00:00.033172608,33710,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:23:28.278"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.90174675
9,TCP 127.0.0.1:33712 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.013693571,2022-05-27 18:23:28.745933771+02:00,2022-05-27 18:23:28.759627342+02:00,2022-05-27 18:23:28.745933771+02:00,2022-05-27 18:23:28.759627342+02:00,2022-05-27 18:23:28.745986462+02:00,2022-05-27 18:23:28.759586573+02:00,0 days 00:00:00.013693571,0 days 00:00:00.013600111,33712,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T16:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",0.460343122
