,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:38412 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026420593,2022-05-28 19:23:10.685626745+02:00,2022-05-28 19:23:10.712047338+02:00,2022-05-28 19:23:10.685626745+02:00,2022-05-28 19:23:10.712047338+02:00,2022-05-28 19:23:10.685676813+02:00,2022-05-28 19:23:10.712007761+02:00,0 days 00:00:00.026420593,0 days 00:00:00.026330948,38412,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:10.677"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:38416 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.018639327,2022-05-28 19:23:13.783693790+02:00,2022-05-28 19:23:13.802333117+02:00,2022-05-28 19:23:13.783693790+02:00,2022-05-28 19:23:13.802333117+02:00,2022-05-28 19:23:13.783731461+02:00,2022-05-28 19:23:13.802294731+02:00,0 days 00:00:00.018639327,0 days 00:00:00.018563270,38416,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:13.777"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.098067045
2,TCP 127.0.0.1:38418 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026422978,2022-05-28 19:23:16.680858135+02:00,2022-05-28 19:23:16.707281113+02:00,2022-05-28 19:23:16.680858135+02:00,2022-05-28 19:23:16.707281113+02:00,2022-05-28 19:23:16.680916071+02:00,2022-05-28 19:23:16.707243443+02:00,0 days 00:00:00.026422978,0 days 00:00:00.026327372,38418,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:16.673"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.897164345
3,TCP 127.0.0.1:38420 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026755571,2022-05-28 19:23:19.777755976+02:00,2022-05-28 19:23:19.804511547+02:00,2022-05-28 19:23:19.777755976+02:00,2022-05-28 19:23:19.804511547+02:00,2022-05-28 19:23:19.777804375+02:00,2022-05-28 19:23:19.804473639+02:00,0 days 00:00:00.026755571,0 days 00:00:00.026669264,38420,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:19.770"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.096897841
4,TCP 127.0.0.1:38422 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027137995,2022-05-28 19:23:22.680109262+02:00,2022-05-28 19:23:22.707247257+02:00,2022-05-28 19:23:22.680109262+02:00,2022-05-28 19:23:22.707247257+02:00,2022-05-28 19:23:22.680161238+02:00,2022-05-28 19:23:22.707208395+02:00,0 days 00:00:00.027137995,0 days 00:00:00.027047157,38422,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:22.673"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.902353286
5,TCP 127.0.0.1:38426 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026710272,2022-05-28 19:23:25.882151842+02:00,2022-05-28 19:23:25.908862114+02:00,2022-05-28 19:23:25.882151842+02:00,2022-05-28 19:23:25.908862114+02:00,2022-05-28 19:23:25.882196665+02:00,2022-05-28 19:23:25.908824205+02:00,0 days 00:00:00.026710272,0 days 00:00:00.026627540,38426,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:25.874"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.20204258
6,TCP 127.0.0.1:38428 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029278278,2022-05-28 19:23:28.777614832+02:00,2022-05-28 19:23:28.806893110+02:00,2022-05-28 19:23:28.777614832+02:00,2022-05-28 19:23:28.806893110+02:00,2022-05-28 19:23:28.777670145+02:00,2022-05-28 19:23:28.806849718+02:00,0 days 00:00:00.029278278,0 days 00:00:00.029179573,38428,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:28.770"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.89546299
7,TCP 127.0.0.1:38430 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027239561,2022-05-28 19:23:32.681753397+02:00,2022-05-28 19:23:32.708992958+02:00,2022-05-28 19:23:32.681753397+02:00,2022-05-28 19:23:32.708992958+02:00,2022-05-28 19:23:32.681802988+02:00,2022-05-28 19:23:32.708955288+02:00,0 days 00:00:00.027239561,0 days 00:00:00.027152300,38430,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:32.674"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.904138565
8,TCP 127.0.0.1:38434 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030895233,2022-05-28 19:23:34.885062933+02:00,2022-05-28 19:23:34.915958166+02:00,2022-05-28 19:23:34.885062933+02:00,2022-05-28 19:23:34.915958166+02:00,2022-05-28 19:23:34.885111809+02:00,2022-05-28 19:23:34.915916204+02:00,0 days 00:00:00.030895233,0 days 00:00:00.030804395,38434,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:34.877"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.203309536
9,TCP 127.0.0.1:38436 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028730154,2022-05-28 19:23:38.384823084+02:00,2022-05-28 19:23:38.413553238+02:00,2022-05-28 19:23:38.384823084+02:00,2022-05-28 19:23:38.413553238+02:00,2022-05-28 19:23:38.384876490+02:00,2022-05-28 19:23:38.413503170+02:00,0 days 00:00:00.028730154,0 days 00:00:00.028626680,38436,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:23:38.376"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.499760151
