,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:55496 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037982941,2022-05-28 08:23:12.682977438+02:00,2022-05-28 08:23:12.720960379+02:00,2022-05-28 08:23:12.682977438+02:00,2022-05-28 08:23:12.720960379+02:00,2022-05-28 08:23:12.683049440+02:00,2022-05-28 08:23:12.720913649+02:00,0 days 00:00:00.037982941,0 days 00:00:00.037864209,55496,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:12.672"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:55498 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038083077,2022-05-28 08:23:14.889208078+02:00,2022-05-28 08:23:14.927291155+02:00,2022-05-28 08:23:14.889208078+02:00,2022-05-28 08:23:14.927291155+02:00,2022-05-28 08:23:14.889281273+02:00,2022-05-28 08:23:14.927246571+02:00,0 days 00:00:00.038083077,0 days 00:00:00.037965298,55498,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:14.878"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.20623064
2,TCP 127.0.0.1:55502 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.019945383,2022-05-28 08:23:18.383300304+02:00,2022-05-28 08:23:18.403245687+02:00,2022-05-28 08:23:18.383300304+02:00,2022-05-28 08:23:18.403245687+02:00,2022-05-28 08:23:18.383339167+02:00,2022-05-28 08:23:18.403217316+02:00,0 days 00:00:00.019945383,0 days 00:00:00.019878149,55502,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:18.377"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.494092226
3,TCP 127.0.0.1:55504 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.020370484,2022-05-28 08:23:19.077449560+02:00,2022-05-28 08:23:19.097820044+02:00,2022-05-28 08:23:19.077449560+02:00,2022-05-28 08:23:19.097820044+02:00,2022-05-28 08:23:19.077524900+02:00,2022-05-28 08:23:19.097760916+02:00,0 days 00:00:00.020370484,0 days 00:00:00.020236016,55504,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T06:23Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
4,TCP 127.0.0.1:55506 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.044649840,2022-05-28 08:23:21.286346197+02:00,2022-05-28 08:23:21.330996037+02:00,2022-05-28 08:23:21.286346197+02:00,2022-05-28 08:23:21.330996037+02:00,2022-05-28 08:23:21.286419153+02:00,2022-05-28 08:23:21.330937386+02:00,0 days 00:00:00.044649840,0 days 00:00:00.044518233,55506,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:21.275"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.903045893
5,TCP 127.0.0.1:55508 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041334868,2022-05-28 08:23:25.183861017+02:00,2022-05-28 08:23:25.225195885+02:00,2022-05-28 08:23:25.183861017+02:00,2022-05-28 08:23:25.225195885+02:00,2022-05-28 08:23:25.183974743+02:00,2022-05-28 08:23:25.225136518+02:00,0 days 00:00:00.041334868,0 days 00:00:00.041161775,55508,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:25.173"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.89751482
6,TCP 127.0.0.1:55510 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029055118,2022-05-28 08:23:27.885316372+02:00,2022-05-28 08:23:27.914371490+02:00,2022-05-28 08:23:27.885316372+02:00,2022-05-28 08:23:27.914371490+02:00,2022-05-28 08:23:27.885369062+02:00,2022-05-28 08:23:27.914330959+02:00,0 days 00:00:00.029055118,0 days 00:00:00.028961897,55510,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:27.876"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.701455355
7,TCP 127.0.0.1:55514 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042825222,2022-05-28 08:23:33.386113882+02:00,2022-05-28 08:23:33.428939104+02:00,2022-05-28 08:23:33.386113882+02:00,2022-05-28 08:23:33.428939104+02:00,2022-05-28 08:23:33.386187315+02:00,2022-05-28 08:23:33.428879976+02:00,0 days 00:00:00.042825222,0 days 00:00:00.042692661,55514,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:33.375"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",5.50079751
8,TCP 127.0.0.1:55516 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041811705,2022-05-28 08:23:37.280527830+02:00,2022-05-28 08:23:37.322339535+02:00,2022-05-28 08:23:37.280527830+02:00,2022-05-28 08:23:37.322339535+02:00,2022-05-28 08:23:37.280601501+02:00,2022-05-28 08:23:37.322281361+02:00,0 days 00:00:00.041811705,0 days 00:00:00.041679860,55516,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:37.270"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.894413948
9,TCP 127.0.0.1:55520 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.040676594,2022-05-28 08:23:41.183382511+02:00,2022-05-28 08:23:41.224059105+02:00,2022-05-28 08:23:41.183382511+02:00,2022-05-28 08:23:41.224059105+02:00,2022-05-28 08:23:41.183454752+02:00,2022-05-28 08:23:41.224007368+02:00,0 days 00:00:00.040676594,0 days 00:00:00.040552616,55520,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T06:23:41.172"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.902854681
10,TCP 127.0.0.1:55522 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.025446653,2022-05-28 08:23:42.237463951+02:00,2022-05-28 08:23:42.262910604+02:00,2022-05-28 08:23:42.237463951+02:00,2022-05-28 08:23:42.262910604+02:00,2022-05-28 08:23:42.237535715+02:00,2022-05-28 08:23:42.262853861+02:00,0 days 00:00:00.025446653,0 days 00:00:00.025318146,55522,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T06:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
