,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:39746 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.032997370,2022-05-28 11:53:09.279633522+02:00,2022-05-28 11:53:09.312630892+02:00,2022-05-28 11:53:09.279633522+02:00,2022-05-28 11:53:09.312630892+02:00,2022-05-28 11:53:09.279685974+02:00,2022-05-28 11:53:09.312538862+02:00,0 days 00:00:00.032997370,0 days 00:00:00.032852888,39746,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:09.272"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:39748 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.014508485,2022-05-28 11:53:11.891403437+02:00,2022-05-28 11:53:11.905911922+02:00,2022-05-28 11:53:11.891403437+02:00,2022-05-28 11:53:11.905911922+02:00,2022-05-28 11:53:11.891458511+02:00,2022-05-28 11:53:11.905865908+02:00,0 days 00:00:00.014508485,0 days 00:00:00.014407397,39748,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T09:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",2.611769915
2,TCP 127.0.0.1:39750 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028135538,2022-05-28 11:53:13.183673859+02:00,2022-05-28 11:53:13.211809397+02:00,2022-05-28 11:53:13.183673859+02:00,2022-05-28 11:53:13.211809397+02:00,2022-05-28 11:53:13.183750868+02:00,2022-05-28 11:53:13.211772919+02:00,0 days 00:00:00.028135538,0 days 00:00:00.028022051,39750,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:13.176"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.292270422
3,TCP 127.0.0.1:39752 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026536941,2022-05-28 11:53:16.879229546+02:00,2022-05-28 11:53:16.905766487+02:00,2022-05-28 11:53:16.879229546+02:00,2022-05-28 11:53:16.905766487+02:00,2022-05-28 11:53:16.879283190+02:00,2022-05-28 11:53:16.905729055+02:00,0 days 00:00:00.026536941,0 days 00:00:00.026445865,39752,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:16.871"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.695555687
4,TCP 127.0.0.1:39756 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028968811,2022-05-28 11:53:19.779611111+02:00,2022-05-28 11:53:19.808579922+02:00,2022-05-28 11:53:19.779611111+02:00,2022-05-28 11:53:19.808579922+02:00,2022-05-28 11:53:19.779667139+02:00,2022-05-28 11:53:19.808530331+02:00,0 days 00:00:00.028968811,0 days 00:00:00.028863192,39756,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:19.772"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.900381565
5,TCP 127.0.0.1:39758 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.012957812,2022-05-28 11:53:21.859016418+02:00,2022-05-28 11:53:21.871974230+02:00,2022-05-28 11:53:21.859016418+02:00,2022-05-28 11:53:21.871974230+02:00,2022-05-28 11:53:21.859065294+02:00,2022-05-28 11:53:21.871937752+02:00,0 days 00:00:00.012957812,0 days 00:00:00.012872458,39758,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T09:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
6,TCP 127.0.0.1:39760 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.014226198,2022-05-28 11:53:21.880412579+02:00,2022-05-28 11:53:21.894638777+02:00,2022-05-28 11:53:21.880412579+02:00,2022-05-28 11:53:21.894638777+02:00,2022-05-28 11:53:21.880465508+02:00,2022-05-28 11:53:21.894598007+02:00,0 days 00:00:00.014226198,0 days 00:00:00.014132499,39760,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T09:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.021396161
7,TCP 127.0.0.1:39762 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.033217668,2022-05-28 11:53:22.686821461+02:00,2022-05-28 11:53:22.720039129+02:00,2022-05-28 11:53:22.686821461+02:00,2022-05-28 11:53:22.720039129+02:00,2022-05-28 11:53:22.686877012+02:00,2022-05-28 11:53:22.719998360+02:00,0 days 00:00:00.033217668,0 days 00:00:00.033121348,39762,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:22.679"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.90721035
8,TCP 127.0.0.1:39764 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.032478571,2022-05-28 11:53:25.781911850+02:00,2022-05-28 11:53:25.814390421+02:00,2022-05-28 11:53:25.781911850+02:00,2022-05-28 11:53:25.814390421+02:00,2022-05-28 11:53:25.781979322+02:00,2022-05-28 11:53:25.814344645+02:00,0 days 00:00:00.032478571,0 days 00:00:00.032365323,39764,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:25.772"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.095090389
9,TCP 127.0.0.1:39766 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.034582615,2022-05-28 11:53:28.678764582+02:00,2022-05-28 11:53:28.713347197+02:00,2022-05-28 11:53:28.678764582+02:00,2022-05-28 11:53:28.713347197+02:00,2022-05-28 11:53:28.678821325+02:00,2022-05-28 11:53:28.713305950+02:00,0 days 00:00:00.034582615,0 days 00:00:00.034484625,39766,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T09:53:28.670"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.896852732
