,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:45674 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026261569,2022-05-28 21:23:12.379109859+02:00,2022-05-28 21:23:12.405371428+02:00,2022-05-28 21:23:12.379109859+02:00,2022-05-28 21:23:12.405371428+02:00,2022-05-28 21:23:12.379159689+02:00,2022-05-28 21:23:12.405333519+02:00,0 days 00:00:00.026261569,0 days 00:00:00.026173830,45674,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:12.371"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:45678 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028876304,2022-05-28 21:23:15.888328791+02:00,2022-05-28 21:23:15.917205095+02:00,2022-05-28 21:23:15.888328791+02:00,2022-05-28 21:23:15.917205095+02:00,2022-05-28 21:23:15.888382196+02:00,2022-05-28 21:23:15.917168140+02:00,0 days 00:00:00.028876304,0 days 00:00:00.028785944,45678,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:15.880"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.509218932
2,TCP 127.0.0.1:45680 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.031600952,2022-05-28 21:23:19.396672726+02:00,2022-05-28 21:23:19.428273678+02:00,2022-05-28 21:23:19.396672726+02:00,2022-05-28 21:23:19.428273678+02:00,2022-05-28 21:23:19.396726131+02:00,2022-05-28 21:23:19.428229570+02:00,0 days 00:00:00.031600952,0 days 00:00:00.031503439,45680,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:19.388"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.508343935
3,TCP 127.0.0.1:45682 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.032053709,2022-05-28 21:23:22.885487080+02:00,2022-05-28 21:23:22.917540789+02:00,2022-05-28 21:23:22.885487080+02:00,2022-05-28 21:23:22.917540789+02:00,2022-05-28 21:23:22.885536432+02:00,2022-05-28 21:23:22.917495728+02:00,0 days 00:00:00.032053709,0 days 00:00:00.031959296,45682,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:22.878"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.488814354
4,TCP 127.0.0.1:45686 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026571274,2022-05-28 21:23:26.382343054+02:00,2022-05-28 21:23:26.408914328+02:00,2022-05-28 21:23:26.382343054+02:00,2022-05-28 21:23:26.408914328+02:00,2022-05-28 21:23:26.382395983+02:00,2022-05-28 21:23:26.408875704+02:00,0 days 00:00:00.026571274,0 days 00:00:00.026479721,45686,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:26.374"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.496855974
5,TCP 127.0.0.1:45688 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.014063835,2022-05-28 21:23:28.323352575+02:00,2022-05-28 21:23:28.337416410+02:00,2022-05-28 21:23:28.323352575+02:00,2022-05-28 21:23:28.337416410+02:00,2022-05-28 21:23:28.323406219+02:00,2022-05-28 21:23:28.337371111+02:00,0 days 00:00:00.014063835,0 days 00:00:00.013964892,45688,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T19:23Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
6,TCP 127.0.0.1:45690 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026471854,2022-05-28 21:23:30.885611057+02:00,2022-05-28 21:23:30.912082911+02:00,2022-05-28 21:23:30.885611057+02:00,2022-05-28 21:23:30.912082911+02:00,2022-05-28 21:23:30.885666609+02:00,2022-05-28 21:23:30.912041903+02:00,0 days 00:00:00.026471854,0 days 00:00:00.026375294,45690,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:30.877"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.503268003
7,TCP 127.0.0.1:45694 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026393890,2022-05-28 21:23:34.783301592+02:00,2022-05-28 21:23:34.809695482+02:00,2022-05-28 21:23:34.783301592+02:00,2022-05-28 21:23:34.809695482+02:00,2022-05-28 21:23:34.783349991+02:00,2022-05-28 21:23:34.809658289+02:00,0 days 00:00:00.026393890,0 days 00:00:00.026308298,45694,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:34.776"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.897690535
8,TCP 127.0.0.1:45696 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029297352,2022-05-28 21:23:38.281089306+02:00,2022-05-28 21:23:38.310386658+02:00,2022-05-28 21:23:38.281089306+02:00,2022-05-28 21:23:38.310386658+02:00,2022-05-28 21:23:38.281142235+02:00,2022-05-28 21:23:38.310344696+02:00,0 days 00:00:00.029297352,0 days 00:00:00.029202461,45696,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:38.272"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.497787714
9,TCP 127.0.0.1:45698 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026139736,2022-05-28 21:23:41.798466206+02:00,2022-05-28 21:23:41.824605942+02:00,2022-05-28 21:23:41.798466206+02:00,2022-05-28 21:23:41.824605942+02:00,2022-05-28 21:23:41.798523664+02:00,2022-05-28 21:23:41.824564219+02:00,0 days 00:00:00.026139736,0 days 00:00:00.026040555,45698,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T19:23:41.790"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.5173769
