,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:46296 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029003620,2022-05-27 21:53:12.386289358+02:00,2022-05-27 21:53:12.415292978+02:00,2022-05-27 21:53:12.386289358+02:00,2022-05-27 21:53:12.415292978+02:00,2022-05-27 21:53:12.386344433+02:00,2022-05-27 21:53:12.415252447+02:00,0 days 00:00:00.029003620,0 days 00:00:00.028908014,46296,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T19:53:12.378"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:46298 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.013756036,2022-05-27 21:53:12.844092131+02:00,2022-05-27 21:53:12.857848167+02:00,2022-05-27 21:53:12.844092131+02:00,2022-05-27 21:53:12.857848167+02:00,2022-05-27 21:53:12.844145775+02:00,2022-05-27 21:53:12.857807398+02:00,0 days 00:00:00.013756036,0 days 00:00:00.013661623,46298,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T19:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
2,TCP 127.0.0.1:46300 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.013971329,2022-05-27 21:53:12.864966631+02:00,2022-05-27 21:53:12.878937960+02:00,2022-05-27 21:53:12.864966631+02:00,2022-05-27 21:53:12.878937960+02:00,2022-05-27 21:53:12.865021229+02:00,2022-05-27 21:53:12.878901482+02:00,0 days 00:00:00.013971329,0 days 00:00:00.013880253,46300,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T19:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.0208745
3,TCP 127.0.0.1:46304 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042222738,2022-05-27 21:53:15.884885073+02:00,2022-05-27 21:53:15.927107811+02:00,2022-05-27 21:53:15.884885073+02:00,2022-05-27 21:53:15.927107811+02:00,2022-05-27 21:53:15.884957552+02:00,2022-05-27 21:53:15.927046061+02:00,0 days 00:00:00.042222738,0 days 00:00:00.042088509,46304,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T19:53:15.874"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.498595715
4,TCP 127.0.0.1:46306 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.032820940,2022-05-27 21:53:19.377954960+02:00,2022-05-27 21:53:19.410775900+02:00,2022-05-27 21:53:19.377954960+02:00,2022-05-27 21:53:19.410775900+02:00,2022-05-27 21:53:19.378012896+02:00,2022-05-27 21:53:19.410724401+02:00,0 days 00:00:00.032820940,0 days 00:00:00.032711505,46306,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T19:53:19.369"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.493069887
5,TCP 127.0.0.1:46308 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038378,2022-05-27 21:53:22.882765055+02:00,2022-05-27 21:53:22.921143055+02:00,2022-05-27 21:53:22.882765055+02:00,2022-05-27 21:53:22.921143055+02:00,2022-05-27 21:53:22.882836103+02:00,2022-05-27 21:53:22.921098471+02:00,0 days 00:00:00.038378,0 days 00:00:00.038262368,46308,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T19:53:22.872"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.504810095
6,TCP 127.0.0.1:46310 > 127.0.0.1:80,1080,1208,2288,0 days 00:00:00.012850285,2022-05-27 21:53:24.752423763+02:00,2022-05-27 21:53:24.765274048+02:00,2022-05-27 21:53:24.752423763+02:00,2022-05-27 21:53:24.765274048+02:00,2022-05-27 21:53:24.752471685+02:00,2022-05-27 21:53:24.765237808+02:00,0 days 00:00:00.012850285,0 days 00:00:00.012766123,46310,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""4"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T19:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Consumption 4"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAConsumption"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}, ""e"": ""changed"", ""id"": ""4"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}}",1.869658708
7,TCP 127.0.0.1:46312 > 127.0.0.1:80,1068,1208,2276,0 days 00:00:00.012637615,2022-05-27 21:53:24.773322344+02:00,2022-05-27 21:53:24.785959959+02:00,2022-05-27 21:53:24.773322344+02:00,2022-05-27 21:53:24.785959959+02:00,2022-05-27 21:53:24.773370981+02:00,2022-05-27 21:53:24.785924196+02:00,0 days 00:00:00.012637615,0 days 00:00:00.012553215,46312,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""5"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T19:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Power 5"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAPower"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}, ""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.020898581
8,TCP 127.0.0.1:46314 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.013240099,2022-05-27 21:53:24.794587612+02:00,2022-05-27 21:53:24.807827711+02:00,2022-05-27 21:53:24.794587612+02:00,2022-05-27 21:53:24.807827711+02:00,2022-05-27 21:53:24.794637442+02:00,2022-05-27 21:53:24.807790518+02:00,0 days 00:00:00.013240099,0 days 00:00:00.013153076,46314,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T19:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",0.021265268
9,TCP 127.0.0.1:46318 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042221069,2022-05-27 21:53:26.380300045+02:00,2022-05-27 21:53:26.422521114+02:00,2022-05-27 21:53:26.380300045+02:00,2022-05-27 21:53:26.422521114+02:00,2022-05-27 21:53:26.380373955+02:00,2022-05-27 21:53:26.422462702+02:00,0 days 00:00:00.042221069,0 days 00:00:00.042088747,46318,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T19:53:26.369"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.585712433
