,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:39094 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.043147325,2022-05-27 19:53:13.884929657+02:00,2022-05-27 19:53:13.928076982+02:00,2022-05-27 19:53:13.884929657+02:00,2022-05-27 19:53:13.928076982+02:00,2022-05-27 19:53:13.885001898+02:00,2022-05-27 19:53:13.928013325+02:00,0 days 00:00:00.043147325,0 days 00:00:00.043011427,39094,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:13.874"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:39096 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026343822,2022-05-27 19:53:17.784875870+02:00,2022-05-27 19:53:17.811219692+02:00,2022-05-27 19:53:17.784875870+02:00,2022-05-27 19:53:17.811219692+02:00,2022-05-27 19:53:17.784924030+02:00,2022-05-27 19:53:17.811182499+02:00,0 days 00:00:00.026343822,0 days 00:00:00.026258469,39096,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:17.777"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.899946213
2,TCP 127.0.0.1:39098 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042701245,2022-05-27 19:53:20.691756725+02:00,2022-05-27 19:53:20.734457970+02:00,2022-05-27 19:53:20.691756725+02:00,2022-05-27 19:53:20.734457970+02:00,2022-05-27 19:53:20.691832304+02:00,2022-05-27 19:53:20.734398842+02:00,0 days 00:00:00.042701245,0 days 00:00:00.042566538,39098,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:20.681"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.906880855
3,TCP 127.0.0.1:39100 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.019680978,2022-05-27 19:53:22.507028579+02:00,2022-05-27 19:53:22.526709557+02:00,2022-05-27 19:53:22.507028579+02:00,2022-05-27 19:53:22.526709557+02:00,2022-05-27 19:53:22.507099867+02:00,2022-05-27 19:53:22.526649952+02:00,0 days 00:00:00.019680978,0 days 00:00:00.019550085,39100,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-27T17:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",1.815271854
4,TCP 127.0.0.1:39102 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.022691965,2022-05-27 19:53:22.568901777+02:00,2022-05-27 19:53:22.591593742+02:00,2022-05-27 19:53:22.568901777+02:00,2022-05-27 19:53:22.591593742+02:00,2022-05-27 19:53:22.568980217+02:00,2022-05-27 19:53:22.591552496+02:00,0 days 00:00:00.022691965,0 days 00:00:00.022572279,39102,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T17:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
5,TCP 127.0.0.1:39104 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.015860081,2022-05-27 19:53:22.589473009+02:00,2022-05-27 19:53:22.605333090+02:00,2022-05-27 19:53:22.589473009+02:00,2022-05-27 19:53:22.605333090+02:00,2022-05-27 19:53:22.589525223+02:00,2022-05-27 19:53:22.605292559+02:00,0 days 00:00:00.015860081,0 days 00:00:00.015767336,39104,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-27T17:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.020571232
6,TCP 127.0.0.1:39106 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037008762,2022-05-27 19:53:22.888515711+02:00,2022-05-27 19:53:22.925524473+02:00,2022-05-27 19:53:22.888515711+02:00,2022-05-27 19:53:22.925524473+02:00,2022-05-27 19:53:22.888578892+02:00,2022-05-27 19:53:22.925472021+02:00,0 days 00:00:00.037008762,0 days 00:00:00.036893129,39106,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:22.877"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.381487132
7,TCP 127.0.0.1:39110 > 127.0.0.1:80,874,1208,2082,0 days 00:00:00.088414192,2022-05-27 19:53:24.476771355+02:00,2022-05-27 19:53:24.565185547+02:00,2022-05-27 19:53:24.476771355+02:00,2022-05-27 19:53:24.565185547+02:00,2022-05-27 19:53:24.476843119+02:00,2022-05-27 19:53:24.565140963+02:00,0 days 00:00:00.088414192,0 days 00:00:00.088297844,39110,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""4"", ""r"": ""sensors"", ""state"": {""consumption"": 333, ""lastupdated"": ""2022-05-27T17:53:24.466""}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}}",1.588255644
8,TCP 127.0.0.1:39118 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036371708,2022-05-27 19:53:24.797966242+02:00,2022-05-27 19:53:24.834337950+02:00,2022-05-27 19:53:24.797966242+02:00,2022-05-27 19:53:24.834337950+02:00,2022-05-27 19:53:24.798037529+02:00,2022-05-27 19:53:24.834287167+02:00,0 days 00:00:00.036371708,0 days 00:00:00.036249638,39118,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:24.787"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.321194887
9,TCP 127.0.0.1:39120 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037137985,2022-05-27 19:53:27.684956789+02:00,2022-05-27 19:53:27.722094774+02:00,2022-05-27 19:53:27.684956789+02:00,2022-05-27 19:53:27.722094774+02:00,2022-05-27 19:53:27.685028791+02:00,2022-05-27 19:53:27.722018480+02:00,0 days 00:00:00.037137985,0 days 00:00:00.036989689,39120,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:27.674"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.886990547
10,TCP 127.0.0.1:39122 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029801607,2022-05-27 19:53:30.786475182+02:00,2022-05-27 19:53:30.816276789+02:00,2022-05-27 19:53:30.786475182+02:00,2022-05-27 19:53:30.816276789+02:00,2022-05-27 19:53:30.786529064+02:00,2022-05-27 19:53:30.816235542+02:00,0 days 00:00:00.029801607,0 days 00:00:00.029706478,39122,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:30.778"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.101518393
11,TCP 127.0.0.1:39126 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036057711,2022-05-27 19:53:33.687661886+02:00,2022-05-27 19:53:33.723719597+02:00,2022-05-27 19:53:33.687661886+02:00,2022-05-27 19:53:33.723719597+02:00,2022-05-27 19:53:33.687726736+02:00,2022-05-27 19:53:33.723666191+02:00,0 days 00:00:00.036057711,0 days 00:00:00.035939455,39126,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:33.678"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.901186704
12,TCP 127.0.0.1:39128 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.039153576,2022-05-27 19:53:36.787642002+02:00,2022-05-27 19:53:36.826795578+02:00,2022-05-27 19:53:36.787642002+02:00,2022-05-27 19:53:36.826795578+02:00,2022-05-27 19:53:36.787715435+02:00,2022-05-27 19:53:36.826755524+02:00,0 days 00:00:00.039153576,0 days 00:00:00.039040089,39128,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:36.776"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.099980116
13,TCP 127.0.0.1:39130 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041338920,2022-05-27 19:53:39.688697100+02:00,2022-05-27 19:53:39.730036020+02:00,2022-05-27 19:53:39.688697100+02:00,2022-05-27 19:53:39.730036020+02:00,2022-05-27 19:53:39.688770056+02:00,2022-05-27 19:53:39.729977846+02:00,0 days 00:00:00.041338920,0 days 00:00:00.041207790,39130,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:39.678"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.901055098
14,TCP 127.0.0.1:39132 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.025751114,2022-05-27 19:53:42.784680843+02:00,2022-05-27 19:53:42.810431957+02:00,2022-05-27 19:53:42.784680843+02:00,2022-05-27 19:53:42.810431957+02:00,2022-05-27 19:53:42.784731865+02:00,2022-05-27 19:53:42.810395718+02:00,0 days 00:00:00.025751114,0 days 00:00:00.025663853,39132,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T17:53:42.777"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.095983743
