,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:51914 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038949013,2022-05-28 07:23:10.188361883+02:00,2022-05-28 07:23:10.227310896+02:00,2022-05-28 07:23:10.188361883+02:00,2022-05-28 07:23:10.227310896+02:00,2022-05-28 07:23:10.188436031+02:00,2022-05-28 07:23:10.227262974+02:00,0 days 00:00:00.038949013,0 days 00:00:00.038826943,51914,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:10.177"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:51916 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028755188,2022-05-28 07:23:14.381283998+02:00,2022-05-28 07:23:14.410039186+02:00,2022-05-28 07:23:14.381283998+02:00,2022-05-28 07:23:14.410039186+02:00,2022-05-28 07:23:14.381333828+02:00,2022-05-28 07:23:14.410003424+02:00,0 days 00:00:00.028755188,0 days 00:00:00.028669596,51916,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:14.374"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.192922115
2,TCP 127.0.0.1:51918 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.025446892,2022-05-28 07:23:16.061548710+02:00,2022-05-28 07:23:16.086995602+02:00,2022-05-28 07:23:16.061548710+02:00,2022-05-28 07:23:16.086995602+02:00,2022-05-28 07:23:16.061621666+02:00,2022-05-28 07:23:16.086936235+02:00,0 days 00:00:00.025446892,0 days 00:00:00.025314569,51918,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T05:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
3,TCP 127.0.0.1:51920 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.020398378,2022-05-28 07:23:16.086868048+02:00,2022-05-28 07:23:16.107266426+02:00,2022-05-28 07:23:16.086868048+02:00,2022-05-28 07:23:16.107266426+02:00,2022-05-28 07:23:16.086934090+02:00,2022-05-28 07:23:16.107210398+02:00,0 days 00:00:00.020398378,0 days 00:00:00.020276308,51920,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T05:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.025319338
4,TCP 127.0.0.1:51924 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.046663284,2022-05-28 07:23:17.882277012+02:00,2022-05-28 07:23:17.928940296+02:00,2022-05-28 07:23:17.882277012+02:00,2022-05-28 07:23:17.928940296+02:00,2022-05-28 07:23:17.882351637+02:00,2022-05-28 07:23:17.928884029+02:00,0 days 00:00:00.046663284,0 days 00:00:00.046532392,51924,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:17.870"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.500993014
5,TCP 127.0.0.1:51926 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036377191,2022-05-28 07:23:21.382528067+02:00,2022-05-28 07:23:21.418905258+02:00,2022-05-28 07:23:21.382528067+02:00,2022-05-28 07:23:21.418905258+02:00,2022-05-28 07:23:21.382640123+02:00,2022-05-28 07:23:21.418860674+02:00,0 days 00:00:00.036377191,0 days 00:00:00.036220551,51926,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:21.371"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.500251055
6,TCP 127.0.0.1:51928 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.044856072,2022-05-28 07:23:24.895739555+02:00,2022-05-28 07:23:24.940595627+02:00,2022-05-28 07:23:24.895739555+02:00,2022-05-28 07:23:24.940595627+02:00,2022-05-28 07:23:24.895813465+02:00,2022-05-28 07:23:24.940536976+02:00,0 days 00:00:00.044856072,0 days 00:00:00.044723511,51928,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:24.885"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.513211488
7,TCP 127.0.0.1:51932 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038406372,2022-05-28 07:23:28.383277416+02:00,2022-05-28 07:23:28.421683788+02:00,2022-05-28 07:23:28.383277416+02:00,2022-05-28 07:23:28.421683788+02:00,2022-05-28 07:23:28.383352518+02:00,2022-05-28 07:23:28.421581030+02:00,0 days 00:00:00.038406372,0 days 00:00:00.038228512,51932,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:28.372"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.487537861
8,TCP 127.0.0.1:51934 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.022075415,2022-05-28 07:23:31.569794655+02:00,2022-05-28 07:23:31.591870070+02:00,2022-05-28 07:23:31.569794655+02:00,2022-05-28 07:23:31.591870070+02:00,2022-05-28 07:23:31.569872856+02:00,2022-05-28 07:23:31.591809988+02:00,0 days 00:00:00.022075415,0 days 00:00:00.021937132,51934,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T05:23Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",3.186517239
9,TCP 127.0.0.1:51936 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041032076,2022-05-28 07:23:31.887589455+02:00,2022-05-28 07:23:31.928621531+02:00,2022-05-28 07:23:31.887589455+02:00,2022-05-28 07:23:31.928621531+02:00,2022-05-28 07:23:31.887661934+02:00,2022-05-28 07:23:31.928581953+02:00,0 days 00:00:00.041032076,0 days 00:00:00.040920019,51936,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T05:23:31.877"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.3177948
