,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:40230 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028565645,2022-05-28 19:53:11.282986641+02:00,2022-05-28 19:53:11.311552286+02:00,2022-05-28 19:53:11.282986641+02:00,2022-05-28 19:53:11.311552286+02:00,2022-05-28 19:53:11.283046246+02:00,2022-05-28 19:53:11.311511040+02:00,0 days 00:00:00.028565645,0 days 00:00:00.028464794,40230,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:53:11.274"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:40232 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028563023,2022-05-28 19:53:14.183722496+02:00,2022-05-28 19:53:14.212285519+02:00,2022-05-28 19:53:14.183722496+02:00,2022-05-28 19:53:14.212285519+02:00,2022-05-28 19:53:14.183776379+02:00,2022-05-28 19:53:14.212239742+02:00,0 days 00:00:00.028563023,0 days 00:00:00.028463363,40232,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:53:14.176"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.900735855
2,TCP 127.0.0.1:40236 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.024124861,2022-05-28 19:53:16.789555311+02:00,2022-05-28 19:53:16.813680172+02:00,2022-05-28 19:53:16.789555311+02:00,2022-05-28 19:53:16.813680172+02:00,2022-05-28 19:53:16.789609909+02:00,2022-05-28 19:53:16.813638687+02:00,0 days 00:00:00.024124861,0 days 00:00:00.024028778,40236,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T17:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
3,TCP 127.0.0.1:40238 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.017005920,2022-05-28 19:53:16.811424971+02:00,2022-05-28 19:53:16.828430891+02:00,2022-05-28 19:53:16.811424971+02:00,2022-05-28 19:53:16.828430891+02:00,2022-05-28 19:53:16.811479330+02:00,2022-05-28 19:53:16.828388453+02:00,0 days 00:00:00.017005920,0 days 00:00:00.016909123,40238,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T17:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.02186966
4,TCP 127.0.0.1:40240 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029962301,2022-05-28 19:53:18.395693541+02:00,2022-05-28 19:53:18.425655842+02:00,2022-05-28 19:53:18.395693541+02:00,2022-05-28 19:53:18.425655842+02:00,2022-05-28 19:53:18.395749331+02:00,2022-05-28 19:53:18.425613880+02:00,0 days 00:00:00.029962301,0 days 00:00:00.029864549,40240,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:53:18.387"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",4.211971045
5,TCP 127.0.0.1:40242 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.013386250,2022-05-28 19:53:18.733680725+02:00,2022-05-28 19:53:18.747066975+02:00,2022-05-28 19:53:18.733680725+02:00,2022-05-28 19:53:18.747066975+02:00,2022-05-28 19:53:18.733731985+02:00,2022-05-28 19:53:18.747030497+02:00,0 days 00:00:00.013386250,0 days 00:00:00.013298512,40242,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T17:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",0.337987184
6,TCP 127.0.0.1:40244 > 127.0.0.1:80,1080,1208,2288,0 days 00:00:00.014013767,2022-05-28 19:53:20.559864521+02:00,2022-05-28 19:53:20.573878288+02:00,2022-05-28 19:53:20.559864521+02:00,2022-05-28 19:53:20.573878288+02:00,2022-05-28 19:53:20.559922218+02:00,2022-05-28 19:53:20.573836803+02:00,0 days 00:00:00.014013767,0 days 00:00:00.013914585,40244,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""4"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T17:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Consumption 4"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAConsumption"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}, ""e"": ""changed"", ""id"": ""4"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0702""}}",1.826183796
7,TCP 127.0.0.1:40246 > 127.0.0.1:80,1068,1208,2276,0 days 00:00:00.015485287,2022-05-28 19:53:20.580647230+02:00,2022-05-28 19:53:20.596132517+02:00,2022-05-28 19:53:20.580647230+02:00,2022-05-28 19:53:20.596132517+02:00,2022-05-28 19:53:20.580701351+02:00,2022-05-28 19:53:20.596090317+02:00,0 days 00:00:00.015485287,0 days 00:00:00.015388966,40246,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""5"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T17:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Power 5"", ""swversion"": ""09-22-2020"", ""type"": ""ZHAPower"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}, ""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.020782709
8,TCP 127.0.0.1:40248 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029431104,2022-05-28 19:53:21.288009167+02:00,2022-05-28 19:53:21.317440271+02:00,2022-05-28 19:53:21.288009167+02:00,2022-05-28 19:53:21.317440271+02:00,2022-05-28 19:53:21.288063049+02:00,2022-05-28 19:53:21.317397833+02:00,0 days 00:00:00.029431104,0 days 00:00:00.029334784,40248,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T17:53:21.280"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",0.707361937
9,TCP 127.0.0.1:40250 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.013693810,2022-05-28 19:53:21.602055311+02:00,2022-05-28 19:53:21.615749121+02:00,2022-05-28 19:53:21.602055311+02:00,2022-05-28 19:53:21.615749121+02:00,2022-05-28 19:53:21.602107763+02:00,2022-05-28 19:53:21.615709543+02:00,0 days 00:00:00.013693810,0 days 00:00:00.013601780,40250,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-28T17:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
