,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:35878 > 127.0.0.1:80,1064,1208,2272,0 days 00:00:00.012814521,2022-05-28 02:53:09.783546925+02:00,2022-05-28 02:53:09.796361446+02:00,2022-05-28 02:53:09.783546925+02:00,2022-05-28 02:53:09.796361446+02:00,2022-05-28 02:53:09.783596039+02:00,2022-05-28 02:53:09.796324492+02:00,0 days 00:00:00.012814521,0 days 00:00:00.012728453,35878,3.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""2"", ""lastannounced"": ""2022-05-19T11:58:48Z"", ""lastseen"": ""2022-05-28T00:53Z"", ""manufacturername"": ""LUMI"", ""modelid"": ""lumi.plug.maeu01"", ""name"": ""Smart plug 2"", ""swversion"": ""09-22-2020"", ""type"": ""Smart plug"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}, ""e"": ""changed"", ""id"": ""2"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01""}}",
1,TCP 127.0.0.1:35880 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.043603897,2022-05-28 02:53:11.687109470+02:00,2022-05-28 02:53:11.730713367+02:00,2022-05-28 02:53:11.687109470+02:00,2022-05-28 02:53:11.730713367+02:00,2022-05-28 02:53:11.687181473+02:00,2022-05-28 02:53:11.730652332+02:00,0 days 00:00:00.043603897,0 days 00:00:00.043470859,35880,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:11.676"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",1.903562545
2,TCP 127.0.0.1:35882 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.043496132,2022-05-28 02:53:15.390758514+02:00,2022-05-28 02:53:15.434254646+02:00,2022-05-28 02:53:15.390758514+02:00,2022-05-28 02:53:15.434254646+02:00,2022-05-28 02:53:15.390831232+02:00,2022-05-28 02:53:15.434195518+02:00,0 days 00:00:00.043496132,0 days 00:00:00.043364286,35882,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:15.380"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.703649044
3,TCP 127.0.0.1:35886 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.023757696,2022-05-28 02:53:18.822680235+02:00,2022-05-28 02:53:18.846437931+02:00,2022-05-28 02:53:18.822680235+02:00,2022-05-28 02:53:18.846437931+02:00,2022-05-28 02:53:18.822752714+02:00,2022-05-28 02:53:18.846389532+02:00,0 days 00:00:00.023757696,0 days 00:00:00.023636818,35886,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T00:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
4,TCP 127.0.0.1:35888 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.019358634,2022-05-28 02:53:18.846290112+02:00,2022-05-28 02:53:18.865648746+02:00,2022-05-28 02:53:18.846290112+02:00,2022-05-28 02:53:18.865648746+02:00,2022-05-28 02:53:18.846348763+02:00,2022-05-28 02:53:18.865579844+02:00,0 days 00:00:00.019358634,0 days 00:00:00.019231081,35888,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T00:53Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.023609877
5,TCP 127.0.0.1:35890 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.034166813,2022-05-28 02:53:18.889120340+02:00,2022-05-28 02:53:18.923287153+02:00,2022-05-28 02:53:18.889120340+02:00,2022-05-28 02:53:18.923287153+02:00,2022-05-28 02:53:18.889187098+02:00,2022-05-28 02:53:18.923236847+02:00,0 days 00:00:00.034166813,0 days 00:00:00.034049749,35890,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:18.879"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.498361826
6,TCP 127.0.0.1:35892 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027423620,2022-05-28 02:53:22.398999214+02:00,2022-05-28 02:53:22.426422834+02:00,2022-05-28 02:53:22.398999214+02:00,2022-05-28 02:53:22.426422834+02:00,2022-05-28 02:53:22.399049282+02:00,2022-05-28 02:53:22.426384449+02:00,0 days 00:00:00.027423620,0 days 00:00:00.027335167,35892,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:22.392"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.509878874
7,TCP 127.0.0.1:35894 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042868376,2022-05-28 02:53:25.886266470+02:00,2022-05-28 02:53:25.929134846+02:00,2022-05-28 02:53:25.886266470+02:00,2022-05-28 02:53:25.929134846+02:00,2022-05-28 02:53:25.886342049+02:00,2022-05-28 02:53:25.929076433+02:00,0 days 00:00:00.042868376,0 days 00:00:00.042734384,35894,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:25.875"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.487267256
8,TCP 127.0.0.1:35898 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.033169747,2022-05-28 02:53:29.384672403+02:00,2022-05-28 02:53:29.417842150+02:00,2022-05-28 02:53:29.384672403+02:00,2022-05-28 02:53:29.417842150+02:00,2022-05-28 02:53:29.384731054+02:00,2022-05-28 02:53:29.417793989+02:00,0 days 00:00:00.033169747,0 days 00:00:00.033062935,35898,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:29.376"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.498405933
9,TCP 127.0.0.1:35900 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.036545992,2022-05-28 02:53:32.885288954+02:00,2022-05-28 02:53:32.921834946+02:00,2022-05-28 02:53:32.885288954+02:00,2022-05-28 02:53:32.921834946+02:00,2022-05-28 02:53:32.885353565+02:00,2022-05-28 02:53:32.921785355+02:00,0 days 00:00:00.036545992,0 days 00:00:00.036431790,35900,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T00:53:32.875"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.500616551
