,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:35482 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.029025793,2022-05-27 18:53:09.788038492+02:00,2022-05-27 18:53:09.817064285+02:00,2022-05-27 18:53:09.788038492+02:00,2022-05-27 18:53:09.817064285+02:00,2022-05-27 18:53:09.788091183+02:00,2022-05-27 18:53:09.817023516+02:00,0 days 00:00:00.029025793,0 days 00:00:00.028932333,35482,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:09.780"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:35484 > 127.0.0.1:80,1069,1208,2277,0 days 00:00:00.019879817,2022-05-27 18:53:10.494676113+02:00,2022-05-27 18:53:10.514555930+02:00,2022-05-27 18:53:10.494676113+02:00,2022-05-27 18:53:10.514555930+02:00,2022-05-27 18:53:10.494748592+02:00,2022-05-27 18:53:10.514497042+02:00,0 days 00:00:00.019879817,0 days 00:00:00.019748450,35484,6.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""1"", ""lastannounced"": null, ""lastseen"": ""2022-05-27T16:53Z"", ""manufacturername"": ""dresden elektronik"", ""modelid"": ""ConBee II"", ""name"": ""Configuration tool 1"", ""swversion"": ""0x00000000"", ""type"": ""Configuration tool"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}, ""e"": ""changed"", ""id"": ""1"", ""r"": ""lights"", ""t"": ""event"", ""uniqueid"": ""00:21:2e:ff:ff:08:20:b0-01""}}",
2,TCP 127.0.0.1:35488 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042939186,2022-05-27 18:53:12.689348459+02:00,2022-05-27 18:53:12.732287645+02:00,2022-05-27 18:53:12.689348459+02:00,2022-05-27 18:53:12.732287645+02:00,2022-05-27 18:53:12.689420938+02:00,2022-05-27 18:53:12.732228279+02:00,0 days 00:00:00.042939186,0 days 00:00:00.042807341,35488,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:12.678"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.901309967
3,TCP 127.0.0.1:35490 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.041716814,2022-05-27 18:53:15.799771786+02:00,2022-05-27 18:53:15.841488600+02:00,2022-05-27 18:53:15.799771786+02:00,2022-05-27 18:53:15.841488600+02:00,2022-05-27 18:53:15.799846411+02:00,2022-05-27 18:53:15.841431856+02:00,0 days 00:00:00.041716814,0 days 00:00:00.041585445,35490,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:15.789"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.110423327
4,TCP 127.0.0.1:35492 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.037930012,2022-05-27 18:53:18.686363935+02:00,2022-05-27 18:53:18.724293947+02:00,2022-05-27 18:53:18.686363935+02:00,2022-05-27 18:53:18.724293947+02:00,2022-05-27 18:53:18.686435699+02:00,2022-05-27 18:53:18.724242210+02:00,0 days 00:00:00.037930012,0 days 00:00:00.037806511,35492,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:18.675"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.886592149
5,TCP 127.0.0.1:35494 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028764009,2022-05-27 18:53:21.781616211+02:00,2022-05-27 18:53:21.810380220+02:00,2022-05-27 18:53:21.781616211+02:00,2022-05-27 18:53:21.810380220+02:00,2022-05-27 18:53:21.781668663+02:00,2022-05-27 18:53:21.810340405+02:00,0 days 00:00:00.028764009,0 days 00:00:00.028671742,35494,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:21.774"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.095252276
6,TCP 127.0.0.1:35498 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038061142,2022-05-27 18:53:24.680225849+02:00,2022-05-27 18:53:24.718286991+02:00,2022-05-27 18:53:24.680225849+02:00,2022-05-27 18:53:24.718286991+02:00,2022-05-27 18:53:24.680299759+02:00,2022-05-27 18:53:24.718241215+02:00,0 days 00:00:00.038061142,0 days 00:00:00.037941456,35498,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:24.669"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.898609638
7,TCP 127.0.0.1:35500 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.038672209,2022-05-27 18:53:27.785636902+02:00,2022-05-27 18:53:27.824309111+02:00,2022-05-27 18:53:27.785636902+02:00,2022-05-27 18:53:27.824309111+02:00,2022-05-27 18:53:27.785710335+02:00,2022-05-27 18:53:27.824263096+02:00,0 days 00:00:00.038672209,0 days 00:00:00.038552761,35500,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:27.775"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.105411053
8,TCP 127.0.0.1:35502 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.040547371,2022-05-27 18:53:30.683122635+02:00,2022-05-27 18:53:30.723670006+02:00,2022-05-27 18:53:30.683122635+02:00,2022-05-27 18:53:30.723670006+02:00,2022-05-27 18:53:30.683197260+02:00,2022-05-27 18:53:30.723630190+02:00,0 days 00:00:00.040547371,0 days 00:00:00.040432930,35502,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:30.672"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.897485733
9,TCP 127.0.0.1:35506 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028959036,2022-05-27 18:53:33.779604912+02:00,2022-05-27 18:53:33.808563948+02:00,2022-05-27 18:53:33.779604912+02:00,2022-05-27 18:53:33.808563948+02:00,2022-05-27 18:53:33.779660463+02:00,2022-05-27 18:53:33.808522224+02:00,0 days 00:00:00.028959036,0 days 00:00:00.028861761,35506,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-27T16:53:33.771"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.096482277
