,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:43298 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.032977819,2022-05-28 12:53:11.177287102+02:00,2022-05-28 12:53:11.210264921+02:00,2022-05-28 12:53:11.177287102+02:00,2022-05-28 12:53:11.210264921+02:00,2022-05-28 12:53:11.177353382+02:00,2022-05-28 12:53:11.210227489+02:00,0 days 00:00:00.032977819,0 days 00:00:00.032874107,43298,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:11.169"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:43302 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028946638,2022-05-28 12:53:13.878465414+02:00,2022-05-28 12:53:13.907412052+02:00,2022-05-28 12:53:13.878465414+02:00,2022-05-28 12:53:13.907412052+02:00,2022-05-28 12:53:13.878518343+02:00,2022-05-28 12:53:13.907370806+02:00,0 days 00:00:00.028946638,0 days 00:00:00.028852463,43302,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:13.870"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.701178312
2,TCP 127.0.0.1:43304 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.026067972,2022-05-28 12:53:16.777220488+02:00,2022-05-28 12:53:16.803288460+02:00,2022-05-28 12:53:16.777220488+02:00,2022-05-28 12:53:16.803288460+02:00,2022-05-28 12:53:16.777271032+02:00,2022-05-28 12:53:16.803250551+02:00,0 days 00:00:00.026067972,0 days 00:00:00.025979519,43304,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:16.769"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.898755074
3,TCP 127.0.0.1:43306 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.031173468,2022-05-28 12:53:20.682552576+02:00,2022-05-28 12:53:20.713726044+02:00,2022-05-28 12:53:20.682552576+02:00,2022-05-28 12:53:20.713726044+02:00,2022-05-28 12:53:20.682636261+02:00,2022-05-28 12:53:20.713677883+02:00,0 days 00:00:00.031173468,0 days 00:00:00.031041622,43306,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:20.674"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.905332088
4,TCP 127.0.0.1:43308 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030435800,2022-05-28 12:53:22.885516882+02:00,2022-05-28 12:53:22.915952682+02:00,2022-05-28 12:53:22.885516882+02:00,2022-05-28 12:53:22.915952682+02:00,2022-05-28 12:53:22.885582209+02:00,2022-05-28 12:53:22.915914059+02:00,0 days 00:00:00.030435800,0 days 00:00:00.030331850,43308,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:22.876"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.202964306
5,TCP 127.0.0.1:43312 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.027244807,2022-05-28 12:53:26.382237434+02:00,2022-05-28 12:53:26.409482241+02:00,2022-05-28 12:53:26.382237434+02:00,2022-05-28 12:53:26.409482241+02:00,2022-05-28 12:53:26.382287741+02:00,2022-05-28 12:53:26.409445047+02:00,0 days 00:00:00.027244807,0 days 00:00:00.027157306,43312,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:26.375"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.496720552
6,TCP 127.0.0.1:43314 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.030096769,2022-05-28 12:53:29.281229496+02:00,2022-05-28 12:53:29.311326265+02:00,2022-05-28 12:53:29.281229496+02:00,2022-05-28 12:53:29.311326265+02:00,2022-05-28 12:53:29.281285524+02:00,2022-05-28 12:53:29.311282873+02:00,0 days 00:00:00.030096769,0 days 00:00:00.029997349,43314,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:29.273"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.898992062
7,TCP 127.0.0.1:43316 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028422595,2022-05-28 12:53:33.183607101+02:00,2022-05-28 12:53:33.212029696+02:00,2022-05-28 12:53:33.183607101+02:00,2022-05-28 12:53:33.212029696+02:00,2022-05-28 12:53:33.183659554+02:00,2022-05-28 12:53:33.211948395+02:00,0 days 00:00:00.028422595,0 days 00:00:00.028288841,43316,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:33.176"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.902377605
8,TCP 127.0.0.1:43320 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028415441,2022-05-28 12:53:35.881907225+02:00,2022-05-28 12:53:35.910322666+02:00,2022-05-28 12:53:35.881907225+02:00,2022-05-28 12:53:35.910322666+02:00,2022-05-28 12:53:35.881959438+02:00,2022-05-28 12:53:35.910281658+02:00,0 days 00:00:00.028415441,0 days 00:00:00.028322220,43320,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:35.873"", ""power"": 4}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.698300124
9,TCP 127.0.0.1:43322 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.031593322,2022-05-28 12:53:38.789103270+02:00,2022-05-28 12:53:38.820696592+02:00,2022-05-28 12:53:38.789103270+02:00,2022-05-28 12:53:38.820696592+02:00,2022-05-28 12:53:38.789153099+02:00,2022-05-28 12:53:38.820645094+02:00,0 days 00:00:00.031593322,0 days 00:00:00.031491995,43322,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T10:53:38.782"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.907196045
