,Session,Taille_up,Taille_down,Taille,Delta,StartTime,EndTime,StartTime_sup,EndTime_sup,StartTime_inf,EndTime_inf,Delta_sup,Delta_inf,Dongle_port,SensorId,NumberOfPackets,Info,sleep
0,TCP 127.0.0.1:44750 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.043654681,2022-05-28 05:23:09.683944225+02:00,2022-05-28 05:23:09.727598906+02:00,2022-05-28 05:23:09.683944225+02:00,2022-05-28 05:23:09.727598906+02:00,2022-05-28 05:23:09.684015512+02:00,2022-05-28 05:23:09.727540016+02:00,0 days 00:00:00.043654681,0 days 00:00:00.043524504,44750,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:09.673"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",
1,TCP 127.0.0.1:44752 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.043134690,2022-05-28 05:23:12.799731731+02:00,2022-05-28 05:23:12.842866421+02:00,2022-05-28 05:23:12.799731731+02:00,2022-05-28 05:23:12.842866421+02:00,2022-05-28 05:23:12.799803495+02:00,2022-05-28 05:23:12.842806101+02:00,0 days 00:00:00.043134690,0 days 00:00:00.043002606,44752,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:12.788"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.115787506
2,TCP 127.0.0.1:44754 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042455197,2022-05-28 05:23:15.689875364+02:00,2022-05-28 05:23:15.732330561+02:00,2022-05-28 05:23:15.689875364+02:00,2022-05-28 05:23:15.732330561+02:00,2022-05-28 05:23:15.689953089+02:00,2022-05-28 05:23:15.732271433+02:00,0 days 00:00:00.042455197,0 days 00:00:00.042318344,44754,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:15.679"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.890143633
3,TCP 127.0.0.1:44758 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.028015613,2022-05-28 05:23:18.785667658+02:00,2022-05-28 05:23:18.813683271+02:00,2022-05-28 05:23:18.785667658+02:00,2022-05-28 05:23:18.813683271+02:00,2022-05-28 05:23:18.785717487+02:00,2022-05-28 05:23:18.813641310+02:00,0 days 00:00:00.028015613,0 days 00:00:00.027923823,44758,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:18.778"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.095792294
4,TCP 127.0.0.1:44760 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.040730238,2022-05-28 05:23:21.688768625+02:00,2022-05-28 05:23:21.729498863+02:00,2022-05-28 05:23:21.688768625+02:00,2022-05-28 05:23:21.729498863+02:00,2022-05-28 05:23:21.688844204+02:00,2022-05-28 05:23:21.729454279+02:00,0 days 00:00:00.040730238,0 days 00:00:00.040610075,44760,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:21.678"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.903100967
5,TCP 127.0.0.1:44762 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042631387,2022-05-28 05:23:24.781300545+02:00,2022-05-28 05:23:24.823931932+02:00,2022-05-28 05:23:24.781300545+02:00,2022-05-28 05:23:24.823931932+02:00,2022-05-28 05:23:24.781372786+02:00,2022-05-28 05:23:24.823872328+02:00,0 days 00:00:00.042631387,0 days 00:00:00.042499542,44762,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:24.770"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.09253192
6,TCP 127.0.0.1:44764 > 127.0.0.1:80,1079,1208,2287,0 days 00:00:00.029484987,2022-05-28 05:23:25.580496311+02:00,2022-05-28 05:23:25.609981298+02:00,2022-05-28 05:23:25.580496311+02:00,2022-05-28 05:23:25.609981298+02:00,2022-05-28 05:23:25.580567598+02:00,2022-05-28 05:23:25.609919786+02:00,0 days 00:00:00.029484987,0 days 00:00:00.029352188,44764,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""6"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T03:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Fire 6"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHAFire"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}, ""e"": ""changed"", ""id"": ""6"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-23-0500""}}",
7,TCP 127.0.0.1:44766 > 127.0.0.1:80,1093,1208,2301,0 days 00:00:00.020807505,2022-05-28 05:23:25.602385759+02:00,2022-05-28 05:23:25.623193264+02:00,2022-05-28 05:23:25.602385759+02:00,2022-05-28 05:23:25.623193264+02:00,2022-05-28 05:23:25.602458239+02:00,2022-05-28 05:23:25.623136759+02:00,0 days 00:00:00.020807505,0 days 00:00:00.020678520,44766,2.0,12,"{""00212EFFFF0820B0"": {""attr"": {""id"": ""7"", ""lastannounced"": ""2022-05-23T14:52:16Z"", ""lastseen"": ""2022-05-28T03:23Z"", ""manufacturername"": ""Develco Products A/S"", ""modelid"": ""SMSZB-120"", ""name"": ""Temperature 7"", ""swversion"": ""20210911 12:20"", ""type"": ""ZHATemperature"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}, ""e"": ""changed"", ""id"": ""7"", ""r"": ""sensors"", ""t"": ""event"", ""uniqueid"": ""00:15:bc:00:31:00:c2:e8-26-0402""}}",0.021889448
8,TCP 127.0.0.1:44770 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.022990703,2022-05-28 05:23:27.676139355+02:00,2022-05-28 05:23:27.699130058+02:00,2022-05-28 05:23:27.676139355+02:00,2022-05-28 05:23:27.699130058+02:00,2022-05-28 05:23:27.676184177+02:00,2022-05-28 05:23:27.699104309+02:00,0 days 00:00:00.022990703,0 days 00:00:00.022920132,44770,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:27.669"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",2.89483881
9,TCP 127.0.0.1:44772 > 127.0.0.1:80,866,1208,2074,0 days 00:00:00.042264462,2022-05-28 05:23:30.783114910+02:00,2022-05-28 05:23:30.825379372+02:00,2022-05-28 05:23:30.783114910+02:00,2022-05-28 05:23:30.825379372+02:00,2022-05-28 05:23:30.783187151+02:00,2022-05-28 05:23:30.825319529+02:00,0 days 00:00:00.042264462,0 days 00:00:00.042132378,44772,3.0,12,"{""00212EFFFF0820B0"": {""e"": ""changed"", ""id"": ""5"", ""r"": ""sensors"", ""state"": {""lastupdated"": ""2022-05-28T03:23:30.772"", ""power"": 3}, ""t"": ""event"", ""uniqueid"": ""54:ef:44:10:00:3a:65:d6-01-0b04""}}",3.106975555
